Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Robert Lewandowski,pl POL,FW,Bayern Munich,32,1988,34,34,2946,32.7,35,3,38,30,5,5,2,0,33.2,29.3,4.4,33.7,46,81,268,Bundesliga,2021-2022
Patrik Schick,cz CZE,FW,Leverkusen,25,1996,27,26,2076,23.1,24,3,27,23,1,2,0,0,18.1,16.5,2.5,19.0,21,25,138,Bundesliga,2021-2022
Erling Haaland,no NOR,FW,Dortmund,21,2000,24,21,1911,21.2,22,8,30,16,6,6,3,0,17.9,13.2,5.4,18.6,40,41,137,Bundesliga,2021-2022
Anthony Modeste,fr FRA,FW,Köln,33,1988,32,31,2606,29.0,20,4,24,19,1,1,4,0,18.0,17.2,2.9,20.2,11,29,143,Bundesliga,2021-2022
Christopher Nkunku,fr FRA,"FW,MF",RB Leipzig,23,1997,34,31,2723,30.3,20,13,33,19,1,1,2,0,16.1,15.3,9.7,25.0,100,117,284,Bundesliga,2021-2022
Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,31,29,2174,24.2,15,1,16,13,2,2,1,0,13.6,12.0,2.4,14.4,36,51,171,Bundesliga,2021-2022
Serge Gnabry,de GER,"FW,DF",Bayern Munich,26,1995,34,25,2185,24.3,14,5,19,14,0,0,0,0,8.5,8.5,8.4,16.9,100,127,313,Bundesliga,2021-2022
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,22,1999,32,32,2760,30.7,13,12,25,13,0,1,10,1,8.0,7.2,9.2,16.4,131,110,261,Bundesliga,2021-2022
Jonas Hofmann,de GER,"MF,FW",Gladbach,29,1992,26,24,2078,23.1,12,5,17,12,0,0,1,0,8.1,8.1,6.6,14.7,60,95,161,Bundesliga,2021-2022
André Silva,pt POR,FW,RB Leipzig,25,1995,33,24,2076,23.1,11,3,14,8,3,3,1,0,12.6,10.7,3.3,14.0,36,50,172,Bundesliga,2021-2022
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,34,32,2611,29.0,11,3,14,10,1,1,0,0,12.8,12.0,2.7,14.8,64,64,200,Bundesliga,2021-2022
Alassane Pléa,fr FRA,"MF,FW",Gladbach,28,1993,33,24,2070,23.0,10,6,16,7,3,3,4,0,8.0,5.7,7.4,13.0,52,133,141,Bundesliga,2021-2022
Sebastian Polter,de GER,FW,Bochum,30,1991,33,27,2341,26.0,10,1,11,9,1,2,2,0,8.7,7.2,2.4,9.6,16,49,111,Bundesliga,2021-2022
Marco Reus,de GER,"MF,FW",Dortmund,32,1989,29,29,2503,27.8,9,13,22,9,0,0,2,0,11.5,11.5,7.9,19.5,57,119,172,Bundesliga,2021-2022
Julian Brandt,de GER,"MF,FW",Dortmund,25,1996,31,22,2078,23.1,9,8,17,9,0,0,3,0,4.9,4.9,4.6,9.4,66,126,171,Bundesliga,2021-2022
Breel Embolo,ch SUI,FW,Gladbach,24,1997,29,24,2166,24.1,9,3,12,9,0,0,3,0,8.4,8.4,4.7,13.1,38,64,158,Bundesliga,2021-2022
Michael Gregoritsch,at AUT,"FW,MF",Augsburg,27,1994,25,15,1392,15.5,9,0,9,8,1,1,3,0,5.1,4.4,0.9,5.3,13,36,67,Bundesliga,2021-2022
Branimir Hrgota,se SWE,FW,Greuther Fürth,28,1993,34,33,2777,30.9,9,5,14,4,5,5,4,0,9.1,5.1,4.1,9.3,51,87,200,Bundesliga,2021-2022
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,28,1993,34,33,2775,30.8,9,7,16,4,5,6,0,0,8.7,4.0,7.5,11.4,54,147,165,Bundesliga,2021-2022
Georginio Rutter,fr FRA,"FW,MF",Hoffenheim,19,2002,33,13,1611,17.9,8,2,10,8,0,0,2,0,7.0,7.0,4.2,11.2,38,42,124,Bundesliga,2021-2022
Thomas Müller,de GER,MF,Bayern Munich,31,1989,32,32,2558,28.4,8,18,26,8,0,0,0,0,10.5,10.5,12.7,23.2,46,155,301,Bundesliga,2021-2022
Lukas Nmecha,de GER,"FW,MF",Wolfsburg,22,1998,25,18,1627,18.1,8,0,8,8,0,0,5,0,8.8,8.8,2.1,10.8,32,25,130,Bundesliga,2021-2022
Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,31,28,2378,26.4,8,4,12,8,0,0,5,0,7.5,7.5,3.5,11.0,43,60,168,Bundesliga,2021-2022
Grischa Prömel,de GER,MF,Union Berlin,26,1995,29,28,2422,26.9,8,1,9,8,0,0,4,0,6.3,6.3,1.1,7.3,27,95,72,Bundesliga,2021-2022
Masaya Okugawa,jp JPN,"MF,FW",Arminia,25,1996,33,30,2531,28.1,8,1,9,8,0,0,0,0,3.9,3.9,1.4,5.3,40,47,121,Bundesliga,2021-2022
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27,1994,28,25,2091,23.2,7,2,9,7,0,0,0,0,9.4,9.4,1.6,11.0,48,55,166,Bundesliga,2021-2022
Leroy Sané,de GER,"FW,MF",Bayern Munich,25,1996,32,22,1976,22.0,7,7,14,7,0,0,3,0,11.4,11.4,6.2,17.6,80,117,203,Bundesliga,2021-2022
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,29,23,1888,21.0,7,2,9,7,0,0,5,0,7.0,7.0,3.7,10.8,34,83,116,Bundesliga,2021-2022
Lucas Höler,de GER,FW,Freiburg,27,1994,34,30,2583,28.7,7,2,9,7,0,0,2,0,9.1,9.1,3.5,12.6,33,85,208,Bundesliga,2021-2022
Florian Wirtz,de GER,"MF,FW",Leverkusen,18,2003,24,22,1851,20.6,7,10,17,7,0,0,2,0,5.4,5.4,7.7,13.1,75,136,134,Bundesliga,2021-2022
Max Kruse,de GER,"MF,FW",Wolfsburg,33,1988,14,14,1128,12.5,7,1,8,5,2,2,0,0,6.1,4.6,1.8,6.4,24,49,90,Bundesliga,2021-2022
Emil Forsberg,se SWE,MF,RB Leipzig,29,1991,31,20,1706,19.0,6,2,8,2,4,4,2,0,8.0,4.8,3.5,8.3,39,80,118,Bundesliga,2021-2022
Marcus Ingvartsen,dk DEN,"FW,MF",Mainz 05,25,1996,26,6,680,7.6,6,0,6,5,1,1,2,0,3.3,2.5,0.4,2.9,10,18,51,Bundesliga,2021-2022
Stevan Jovetić,me MNE,"FW,MF",Hertha BSC,31,1989,18,13,1017,11.3,6,1,7,6,0,0,3,0,4.4,4.4,1.6,5.9,28,47,70,Bundesliga,2021-2022
Sasa Kalajdzic,at AUT,FW,Stuttgart,24,1997,15,13,1221,13.6,6,1,7,5,1,2,2,0,6.6,5.0,2.5,7.5,14,26,78,Bundesliga,2021-2022
Wout Weghorst,nl NED,FW,Wolfsburg,28,1992,18,17,1553,17.3,6,1,7,5,1,2,2,0,7.9,6.3,1.9,8.1,16,33,88,Bundesliga,2021-2022
Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,21,16,1359,15.1,6,2,8,6,0,0,1,1,4.0,4.0,3.0,7.0,83,55,233,Bundesliga,2021-2022
Yussuf Poulsen,dk DEN,"FW,MF",RB Leipzig,27,1994,25,12,1079,12.0,6,0,6,6,0,0,2,0,5.5,5.5,1.7,7.2,14,30,84,Bundesliga,2021-2022
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,30,1991,32,30,2707,30.1,6,9,15,6,0,0,2,0,12.6,12.6,8.0,20.6,96,134,229,Bundesliga,2021-2022
