Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Robert Lewandowski,pl POL,FW,Bayern Munich,31,1988,29,28,2458,27.3,41,7,48,33,8,9,4,0,31.3,24.2,4.7,28.8,51,67,185,Bundesliga,2020-2021
André Silva,pt POR,FW,Eint Frankfurt,24,1995,32,32,2760,30.7,28,7,35,21,7,7,1,0,25.6,20.1,4.7,24.8,46,67,255,Bundesliga,2020-2021
Erling Haaland,no NOR,FW,Dortmund,20,2000,28,27,2407,26.7,27,6,33,25,2,4,2,0,23.5,20.3,3.5,23.8,47,39,157,Bundesliga,2020-2021
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,29,1991,28,26,2379,26.4,20,5,25,15,5,5,2,0,14.8,10.8,4.2,15.1,88,106,235,Bundesliga,2020-2021
Wout Weghorst,nl NED,FW,Wolfsburg,27,1992,34,33,2941,32.7,20,8,28,18,2,3,3,0,17.0,14.8,5.2,20.0,22,59,184,Bundesliga,2020-2021
Sasa Kalajdzic,at AUT,FW,Stuttgart,23,1997,33,23,2136,23.7,16,5,21,16,0,0,1,0,10.4,10.4,3.7,14.0,18,46,166,Bundesliga,2020-2021
Lars Stindl,de GER,"MF,FW",Gladbach,31,1988,30,23,1961,21.8,14,8,22,8,6,7,6,0,10.1,4.6,4.8,9.4,22,116,111,Bundesliga,2020-2021
Max Kruse,de GER,"FW,MF",Union Berlin,32,1988,22,19,1629,18.1,11,5,16,6,5,6,0,0,6.8,2.0,4.2,6.2,38,74,116,Bundesliga,2020-2021
Silas Katompa,cd COD,"DF,FW",Stuttgart,21,1998,25,24,1919,21.3,11,4,15,8,3,3,6,0,7.3,5.0,4.4,9.4,74,33,165,Bundesliga,2020-2021
Thomas Müller,de GER,MF,Bayern Munich,30,1989,32,31,2674,29.7,11,19,30,10,1,1,0,0,8.2,7.4,10.0,17.4,51,151,325,Bundesliga,2020-2021
Lucas Alario,ar ARG,FW,Leverkusen,27,1992,25,12,1245,13.8,11,2,13,9,2,2,2,0,7.2,5.7,0.9,6.6,7,21,75,Bundesliga,2020-2021
Serge Gnabry,de GER,"FW,MF",Bayern Munich,25,1995,27,20,1644,18.3,10,2,12,10,0,0,4,0,8.0,8.0,6.0,14.1,82,93,216,Bundesliga,2020-2021
Patrik Schick,cz CZE,FW,Leverkusen,24,1996,29,20,1866,20.7,9,1,10,9,0,0,4,0,9.2,9.2,2.5,11.7,19,19,132,Bundesliga,2020-2021
Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,26,1994,32,23,2200,24.4,9,7,16,9,0,0,3,0,9.9,9.9,5.0,14.8,70,52,225,Bundesliga,2020-2021
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,27,1993,31,27,2313,25.7,9,10,19,5,4,4,2,0,8.1,4.9,7.1,12.0,68,135,153,Bundesliga,2020-2021
Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,30,25,2141,23.8,9,8,17,9,0,0,6,0,6.2,6.2,6.0,12.2,112,63,254,Bundesliga,2020-2021
Nils Petersen,de GER,FW,Freiburg,31,1988,32,12,1301,14.5,8,0,8,7,1,1,0,0,6.3,5.5,0.5,6.0,4,16,60,Bundesliga,2020-2021
André Hahn,de GER,"FW,MF",Augsburg,29,1990,29,24,2037,22.6,8,3,11,8,0,0,4,0,5.0,5.0,2.1,7.1,22,29,82,Bundesliga,2020-2021
Marco Reus,de GER,"MF,FW",Dortmund,31,1989,32,27,2279,25.3,8,6,14,8,0,2,1,0,10.2,7.5,7.0,14.5,61,107,208,Bundesliga,2020-2021
Jadon Sancho,eng ENG,"FW,MF",Dortmund,20,2000,26,24,2062,22.9,8,11,19,7,1,1,0,0,6.6,5.8,7.7,13.5,114,178,276,Bundesliga,2020-2021
Marcus Thuram,fr FRA,"FW,MF",Gladbach,22,1997,29,20,1731,19.2,8,3,11,8,0,0,3,1,8.1,8.1,2.4,10.5,77,44,162,Bundesliga,2020-2021
Marcel Sabitzer,at AUT,MF,RB Leipzig,26,1994,27,24,2026,22.5,8,3,11,4,4,4,8,0,7.6,4.4,2.7,7.1,24,171,78,Bundesliga,2020-2021
Roland Sallai,hu HUN,"MF,FW",Freiburg,23,1997,28,22,1661,18.5,8,3,11,7,1,1,5,0,6.4,5.6,1.4,7.0,54,65,118,Bundesliga,2020-2021
Jhon Córdoba,co COL,FW,Hertha BSC,27,1993,21,17,1537,17.1,7,1,8,7,0,0,3,0,6.9,6.9,1.6,8.5,22,16,97,Bundesliga,2020-2021
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21,1999,27,25,2149,23.9,7,4,11,5,2,3,9,0,8.4,6.1,4.5,10.6,91,85,137,Bundesliga,2020-2021
Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,29,22,1814,20.2,7,3,10,7,0,0,1,0,3.6,3.6,3.8,7.4,69,82,155,Bundesliga,2020-2021
Ondrej Duda,sk SVK,"FW,MF",Köln,25,1994,32,32,2537,28.2,7,5,12,4,3,4,8,1,6.4,3.3,3.9,7.2,32,126,132,Bundesliga,2020-2021
Krzysztof Piątek,pl POL,FW,Hertha BSC,25,1995,32,18,1630,18.1,7,1,8,7,0,1,4,0,6.4,5.6,1.1,6.6,18,21,105,Bundesliga,2020-2021
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,28,1991,29,20,1539,17.1,7,4,11,5,2,3,0,0,6.1,3.7,4.8,8.5,36,71,112,Bundesliga,2020-2021
Jean-Philippe Mateta,fr FRA,FW,Mainz 05,23,1997,15,12,997,11.1,7,1,8,6,1,1,2,0,8.6,7.8,1.4,9.2,14,10,74,Bundesliga,2020-2021
Alassane Pléa,fr FRA,FW,Gladbach,27,1993,29,19,1803,20.0,6,1,7,6,0,0,2,0,5.7,5.7,4.6,10.4,55,75,178,Bundesliga,2020-2021
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,31,28,2369,26.3,6,3,9,6,0,0,6,0,5.9,5.9,3.5,9.4,68,110,133,Bundesliga,2020-2021
Leroy Sané,de GER,"FW,MF",Bayern Munich,24,1996,32,18,1805,20.1,6,9,15,6,0,0,2,0,5.4,5.4,6.8,12.1,73,84,230,Bundesliga,2020-2021
Joel Pohjanpalo,fi FIN,FW,Union Berlin,25,1994,19,10,851,9.5,6,0,6,6,0,0,0,0,6.6,6.6,1.2,7.8,6,26,39,Bundesliga,2020-2021
Jonas Hofmann,de GER,"FW,MF",Gladbach,28,1992,24,21,1817,20.2,6,11,17,3,3,3,1,0,4.9,2.5,5.3,7.9,46,73,106,Bundesliga,2020-2021
Matthew Hoppe,us USA,FW,Schalke 04,19,2001,22,15,1305,14.5,6,1,7,6,0,0,3,0,3.8,3.8,0.8,4.6,17,14,69,Bundesliga,2020-2021
Florian Neuhaus,de GER,MF,Gladbach,23,1997,33,30,2622,29.1,6,5,11,6,0,0,9,0,2.7,2.7,2.9,5.6,63,201,57,Bundesliga,2020-2021
Christopher Nkunku,fr FRA,"FW,MF",RB Leipzig,22,1997,28,19,1892,21.0,6,6,12,6,0,0,2,0,6.9,6.9,7.1,13.9,65,76,207,Bundesliga,2020-2021
Jamal Musiala,de GER,"FW,MF",Bayern Munich,17,2003,26,7,881,9.8,6,1,7,6,0,0,0,0,2.9,2.9,0.7,3.6,29,39,66,Bundesliga,2020-2021
Niclas Füllkrug,de GER,FW,Werder Bremen,27,1993,19,10,877,9.7,6,0,6,4,2,2,1,0,5.0,3.5,0.2,3.7,9,22,68,Bundesliga,2020-2021
Maximilian Philipp,de GER,MF,Wolfsburg,26,1994,24,13,1111,12.3,6,2,8,6,0,0,3,0,3.5,3.5,1.1,4.5,8,28,71,Bundesliga,2020-2021
Nicolás González,ar ARG,"FW,MF",Stuttgart,22,1998,15,10,934,10.4,6,2,8,3,3,4,5,0,7.4,4.3,2.0,6.3,32,27,65,Bundesliga,2020-2021
Ruben Vargas,ch SUI,"MF,FW",Augsburg,21,1998,30,18,1612,17.9,6,3,9,6,0,0,2,1,4.1,4.1,2.8,7.0,48,61,124,Bundesliga,2020-2021
