Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Niclas Füllkrug,de GER,FW,Werder Bremen,29,1993,28,28,2477,27.5,16,5,21,11,5,5,4,0,12.8,8.6,3.6,12.2,41,90,200,Bundesliga,2022-2023
Christopher Nkunku,fr FRA,"FW,MF",RB Leipzig,24,1997,25,20,1897,21.1,16,4,20,13,3,4,4,0,14.4,11.3,4.3,15.6,43,71,176,Bundesliga,2022-2023
Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,23,1998,32,31,2631,29.2,15,11,26,13,2,2,6,1,13.2,11.6,6.5,18.1,97,61,240,Bundesliga,2022-2023
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,29,1993,33,30,2408,26.8,15,5,20,8,7,8,2,0,10.3,3.9,5.5,9.4,65,128,124,Bundesliga,2022-2023
Serge Gnabry,de GER,"FW,MF",Bayern Munich,27,1995,34,22,1941,21.6,14,5,19,13,1,1,0,0,11.2,10.4,5.3,15.7,74,82,217,Bundesliga,2022-2023
Marcus Thuram,fr FRA,FW,Gladbach,24,1997,30,28,2513,27.9,13,6,19,13,0,0,3,0,16.5,16.5,5.2,21.8,75,46,170,Bundesliga,2022-2023
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,31,1991,32,26,2386,26.5,12,4,16,8,4,6,3,0,13.2,8.5,2.2,10.7,49,100,191,Bundesliga,2022-2023
Marvin Ducksch,de GER,FW,Werder Bremen,28,1994,34,34,2852,31.7,12,6,18,12,0,1,4,0,11.3,10.5,5.5,16.0,31,58,215,Bundesliga,2022-2023
Jonas Hofmann,de GER,"FW,MF",Gladbach,30,1992,31,30,2680,29.8,12,9,21,12,0,1,2,0,7.2,6.6,11.1,17.6,73,119,197,Bundesliga,2022-2023
Jamal Musiala,de GER,"MF,FW",Bayern Munich,19,2003,33,26,2198,24.4,12,10,22,12,0,0,1,0,8.0,8.0,6.6,14.6,89,124,196,Bundesliga,2022-2023
