Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Leverkusen,34,28,6,0,89,24,65,90,Bundesliga,2023-2024
Stuttgart,34,23,4,7,78,39,39,73,Bundesliga,2023-2024
Bayern Munich,34,23,3,8,94,45,49,72,Bundesliga,2023-2024
RB Leipzig,34,19,8,7,77,39,38,65,Bundesliga,2023-2024
Dortmund,34,18,9,7,68,43,25,63,Bundesliga,2023-2024
Eint Frankfurt,34,11,14,9,51,50,1,47,Bundesliga,2023-2024
Hoffenheim,34,13,7,14,66,66,0,46,Bundesliga,2023-2024
Heidenheim,34,10,12,12,50,55,-5,42,Bundesliga,2023-2024
Werder Bremen,34,11,9,14,48,54,-6,42,Bundesliga,2023-2024
Freiburg,34,11,9,14,45,58,-13,42,Bundesliga,2023-2024
Augsburg,34,10,9,15,50,60,-10,39,Bundesliga,2023-2024
Wolfsburg,34,10,7,17,41,56,-15,37,Bundesliga,2023-2024
Mainz 05,34,7,14,13,39,51,-12,35,Bundesliga,2023-2024
Gladbach,34,7,13,14,56,67,-11,34,Bundesliga,2023-2024
Union Berlin,34,9,6,19,33,58,-25,33,Bundesliga,2023-2024
Bochum,34,7,12,15,42,74,-32,33,Bundesliga,2023-2024
Köln,34,5,12,17,28,60,-32,27,Bundesliga,2023-2024
Darmstadt 98,34,3,8,23,30,86,-56,17,Bundesliga,2023-2024
