Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Paris S-G,34,22,10,2,81,33,48,76,Ligue 1,2023-2024
Monaco,34,20,7,7,68,42,26,67,Ligue 1,2023-2024
Brest,34,17,10,7,53,34,19,61,Ligue 1,2023-2024
Lille,34,16,11,7,52,34,18,59,Ligue 1,2023-2024
Nice,34,15,10,9,40,29,11,55,Ligue 1,2023-2024
Lyon,34,16,5,13,49,55,-6,53,Ligue 1,2023-2024
Lens,34,14,9,11,45,37,8,51,Ligue 1,2023-2024
Marseille,34,13,11,10,52,41,11,50,Ligue 1,2023-2024
Reims,34,13,8,13,42,47,-5,47,Ligue 1,2023-2024
Rennes,34,12,10,12,53,46,7,46,Ligue 1,2023-2024
Toulouse,34,11,10,13,42,46,-4,43,Ligue 1,2023-2024
Montpellier,34,10,12,12,43,48,-5,41,Ligue 1,2023-2024
Strasbourg,34,10,9,15,38,50,-12,39,Ligue 1,2023-2024
Nantes,34,9,6,19,30,55,-25,33,Ligue 1,2023-2024
Le Havre,34,7,11,16,34,45,-11,32,Ligue 1,2023-2024
Metz,34,8,5,21,35,58,-23,29,Ligue 1,2023-2024
Lorient,34,7,8,19,43,66,-23,29,Ligue 1,2023-2024
Clermont Foot,34,5,10,19,26,60,-34,25,Ligue 1,2023-2024
