Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Lille,38,24,11,3,64,23,41,83,Ligue 1,2020-2021
Paris S-G,38,26,4,8,86,28,58,82,Ligue 1,2020-2021
Monaco,38,24,6,8,76,42,34,78,Ligue 1,2020-2021
Lyon,38,22,10,6,81,43,38,76,Ligue 1,2020-2021
Marseille,38,16,12,10,54,47,7,60,Ligue 1,2020-2021
Rennes,38,16,10,12,52,40,12,58,Ligue 1,2020-2021
Lens,38,15,12,11,55,54,1,57,Ligue 1,2020-2021
Montpellier,38,14,12,12,60,62,-2,54,Ligue 1,2020-2021
Nice,38,15,7,16,50,53,-3,52,Ligue 1,2020-2021
Metz,38,12,11,15,44,48,-4,47,Ligue 1,2020-2021
Saint-Étienne,38,12,10,16,42,54,-12,46,Ligue 1,2020-2021
Bordeaux,38,13,6,19,42,56,-14,45,Ligue 1,2020-2021
Angers,38,12,8,18,40,58,-18,44,Ligue 1,2020-2021
Reims,38,9,15,14,42,50,-8,42,Ligue 1,2020-2021
Strasbourg,38,11,9,18,49,58,-9,42,Ligue 1,2020-2021
Lorient,38,11,9,18,50,68,-18,42,Ligue 1,2020-2021
Brest,38,11,8,19,50,66,-16,41,Ligue 1,2020-2021
Nantes,38,9,13,16,47,55,-8,40,Ligue 1,2020-2021
Nîmes,38,9,8,21,40,71,-31,35,Ligue 1,2020-2021
Dijon,38,4,9,25,25,73,-48,21,Ligue 1,2020-2021
