Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Kylian Mbappé,fr FRA,FW,Paris S-G,22,1998,35,34,3023,33.6,28,17,45,24,4,4,10,0,23.8,20.7,12.6,33.4,210,107,449,Ligue 1,2021-2022
Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,37,29,2529,28.1,25,5,30,17,8,8,3,0,18.0,11.7,5.0,16.7,59,73,238,Ligue 1,2021-2022
Martin Terrier,fr FRA,"FW,MF",Rennes,24,1997,37,37,2779,30.9,21,3,24,19,2,2,1,0,13.9,12.3,4.4,16.7,85,123,228,Ligue 1,2021-2022
Moussa Dembélé,fr FRA,FW,Lyon,25,1996,30,25,2207,24.5,21,4,25,16,5,5,6,0,19.3,15.3,4.0,19.3,25,23,157,Ligue 1,2021-2022
Andy Delort,dz ALG,FW,Nice,29,1991,32,26,2448,27.2,16,2,18,13,3,3,3,0,14.6,12.2,3.9,16.1,24,54,188,Ligue 1,2021-2022
Jonathan David,ca CAN,FW,Lille,21,2000,38,32,2804,31.2,15,0,15,13,2,3,3,0,14.6,12.3,3.5,15.8,43,67,182,Ligue 1,2021-2022
Mohamed Lamine Bayo,gn GUI,FW,Clermont Foot,23,1998,32,27,2413,26.8,14,5,19,12,2,3,1,0,14.4,11.9,4.1,16.0,28,55,147,Ligue 1,2021-2022
Neymar,br BRA,"FW,MF",Paris S-G,29,1992,22,22,1851,20.6,13,6,19,10,3,4,10,0,10.8,7.7,7.5,15.2,96,146,244,Ligue 1,2021-2022
Randal Kolo Muani,fr FRA,"FW,MF",Nantes,22,1998,36,34,2948,32.8,12,4,16,12,0,0,2,0,10.7,10.7,4.4,15.0,81,28,206,Ligue 1,2021-2022
Karl Toko Ekambi,cm CMR,FW,Lyon,28,1992,30,26,2296,25.5,12,5,17,10,2,2,3,0,12.6,11.0,5.0,16.0,89,55,268,Ligue 1,2021-2022
Gaëtan Laborde,fr FRA,FW,Rennes,27,1994,34,32,2729,30.3,12,8,20,10,2,2,1,0,14.9,13.3,5.1,18.4,38,54,211,Ligue 1,2021-2022
Dimitri Payet,fr FRA,"FW,MF",Marseille,34,1987,31,28,2592,28.8,12,10,22,5,7,7,3,0,10.6,5.1,10.0,15.1,76,187,212,Ligue 1,2021-2022
Ludovic Ajorque,fr FRA,FW,Strasbourg,27,1994,36,31,2738,30.4,12,8,20,9,3,3,5,1,10.6,8.3,7.0,15.3,21,69,217,Ligue 1,2021-2022
Arnaud Kalimuendo,fr FRA,FW,Lens,19,2002,32,27,2148,23.9,12,0,12,10,2,2,1,1,8.9,7.3,1.6,8.9,49,30,192,Ligue 1,2021-2022
Hwang Ui-jo,kr KOR,FW,Bordeaux,28,1992,32,29,2508,27.9,11,2,13,11,0,0,3,0,8.9,8.9,1.4,10.4,30,20,131,Ligue 1,2021-2022
Habib Diallo,sn SEN,FW,Strasbourg,26,1995,31,16,1541,17.1,11,1,12,9,2,2,2,0,8.8,7.2,2.8,10.0,19,27,132,Ligue 1,2021-2022
