Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Real Madrid,38,29,8,1,87,26,61,95,La Liga,2023-2024
Barcelona,38,26,7,5,79,44,35,85,La Liga,2023-2024
Girona,38,25,6,7,85,46,39,81,La Liga,2023-2024
Atlético Madrid,38,24,4,10,70,43,27,76,La Liga,2023-2024
Athletic Club,38,19,11,8,61,37,24,68,La Liga,2023-2024
Real Sociedad,38,16,12,10,51,39,12,60,La Liga,2023-2024
Betis,38,14,15,9,48,45,3,57,La Liga,2023-2024
Villarreal,38,14,11,13,65,65,0,53,La Liga,2023-2024
Valencia,38,13,10,15,40,45,-5,49,La Liga,2023-2024
Alavés,38,12,10,16,36,46,-10,46,La Liga,2023-2024
Osasuna,38,12,9,17,45,56,-11,45,La Liga,2023-2024
Getafe,38,10,13,15,42,54,-12,43,La Liga,2023-2024
Celta Vigo,38,10,11,17,46,57,-11,41,La Liga,2023-2024
Sevilla,38,10,11,17,48,54,-6,41,La Liga,2023-2024
Mallorca,38,8,16,14,33,44,-11,40,La Liga,2023-2024
Las Palmas,38,10,10,18,33,47,-14,40,La Liga,2023-2024
Rayo Vallecano,38,8,14,16,29,48,-19,38,La Liga,2023-2024
Cádiz,38,6,15,17,26,55,-29,33,La Liga,2023-2024
Almería,38,3,12,23,43,75,-32,21,La Liga,2023-2024
Granada,38,4,9,25,38,79,-41,21,La Liga,2023-2024
