Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Sat,2021-08-21,18:30,Hellas Verona,Sassuolo,2.4,1.6,2–3,2021-2022,0
1.0,Sat,2021-08-21,18:30,Inter,Genoa,1.6,1.1,4–0,2021-2022,1
1.0,Sat,2021-08-21,20:45,Torino,Atalanta,1.3,0.7,1–2,2021-2022,2
1.0,Sat,2021-08-21,20:45,Empoli,Lazio,1.2,1.5,1–3,2021-2022,3
1.0,Sun,2021-08-22,18:30,Udinese,Juventus,1.6,0.8,2–2,2021-2022,4
1.0,Sun,2021-08-22,18:30,Bologna,Salernitana,1.6,1.5,3–2,2021-2022,5
1.0,Sun,2021-08-22,20:45,Napoli,Venezia,2.2,0.6,2–0,2021-2022,6
1.0,Sun,2021-08-22,20:45,Roma,Fiorentina,2.7,1.3,3–1,2021-2022,7
1.0,Mon,2021-08-23,18:30,Cagliari,Spezia,2.8,0.8,2–2,2021-2022,8
1.0,Mon,2021-08-23,20:45,Sampdoria,Milan,1.1,0.9,0–1,2021-2022,9
2.0,Fri,2021-08-27,18:30,Udinese,Venezia,2.2,1.2,3–0,2021-2022,11
2.0,Fri,2021-08-27,20:45,Hellas Verona,Inter,1.0,1.5,1–3,2021-2022,12
2.0,Sat,2021-08-28,18:30,Atalanta,Bologna,0.9,0.3,0–0,2021-2022,13
2.0,Sat,2021-08-28,18:30,Lazio,Spezia,3.0,1.0,6–1,2021-2022,14
2.0,Sat,2021-08-28,20:45,Fiorentina,Torino,0.8,0.4,2–1,2021-2022,15
2.0,Sat,2021-08-28,20:45,Juventus,Empoli,1.2,0.7,0–1,2021-2022,16
2.0,Sun,2021-08-29,18:30,Sassuolo,Sampdoria,1.6,0.5,0–0,2021-2022,17
2.0,Sun,2021-08-29,18:30,Genoa,Napoli,0.4,1.1,1–2,2021-2022,18
2.0,Sun,2021-08-29,20:45,Milan,Cagliari,2.7,0.6,4–1,2021-2022,19
2.0,Sun,2021-08-29,20:45,Salernitana,Roma,0.3,2.1,0–4,2021-2022,20
3.0,Sat,2021-09-11,15:00,Empoli,Venezia,1.9,1.7,1–2,2021-2022,22
3.0,Sat,2021-09-11,18:00,Napoli,Juventus,2.1,1.2,2–1,2021-2022,23
3.0,Sat,2021-09-11,20:45,Atalanta,Fiorentina,2.2,1.8,1–2,2021-2022,24
