Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Artem Dovbyk,ua UKR,FW,Girona,26,1997,36,32,2587,28.7,24,8,32,17,7,8,2,0,24.2,17.9,6.2,24.1,18,26,118,La_Liga,2023-2024
Alexander Sørloth,no NOR,FW,Villarreal,27,1995,34,30,2489,27.7,23,6,29,23,0,0,3,0,12.3,12.3,4.4,16.7,48,40,159,La_Liga,2023-2024
Jude Bellingham,eng ENG,MF,Real Madrid,20,2003,28,27,2315,25.7,19,6,25,18,1,1,5,1,11.1,10.3,5.3,15.6,85,196,177,La_Liga,2023-2024
Robert Lewandowski,pl POL,FW,Barcelona,34,1988,35,32,2750,30.6,19,8,27,15,4,4,5,0,18.1,15.0,4.9,19.9,43,64,168,La_Liga,2023-2024
Ante Budimir,hr CRO,FW,Osasuna,32,1991,33,29,2435,27.1,17,2,19,14,3,4,4,0,14.2,11.1,1.8,12.9,21,42,99,La_Liga,2023-2024
Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997,33,28,2570,28.6,16,2,18,15,1,1,4,0,10.8,10.0,1.3,11.3,17,17,81,La_Liga,2023-2024
Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,32,1991,33,31,2644,29.4,16,6,22,12,4,4,5,0,12.3,9.3,5.6,14.9,43,118,196,La_Liga,2023-2024
Álvaro Morata,es ESP,FW,Atlético Madrid,30,1992,32,21,1904,21.2,15,3,18,15,0,1,4,1,13.8,12.9,1.7,14.6,22,20,88,La_Liga,2023-2024
Borja Mayoral,es ESP,FW,Getafe,26,1997,27,25,2153,23.9,15,1,16,11,4,4,2,0,11.9,8.7,1.4,10.1,27,67,100,La_Liga,2023-2024
Vinicius Júnior,br BRA,FW,Real Madrid,23,2000,26,22,1864,20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137,57,277,La_Liga,2023-2024
Gorka Guruzeta,es ESP,FW,Athletic Club,26,1996,32,30,2217,24.6,14,5,19,14,0,1,2,0,11.6,10.8,2.4,13.2,18,55,102,La_Liga,2023-2024
Jørgen Strand Larsen,no NOR,FW,Celta Vigo,23,2000,37,36,2863,31.8,13,3,16,13,0,0,5,0,14.5,14.5,2.5,17.0,33,25,183,La_Liga,2023-2024
Hugo Duro,es ESP,FW,Valencia,23,1999,37,35,2976,33.1,13,2,15,13,0,0,4,0,11.5,11.5,1.3,12.9,27,34,157,La_Liga,2023-2024
Iñaki Williams,gh GHA,FW,Athletic Club,29,1994,34,32,2844,31.6,12,3,15,12,0,0,4,0,9.4,9.4,6.3,15.8,114,78,333,La_Liga,2023-2024
Myrto Uzuni,al ALB,FW,Granada,28,1995,34,28,2448,27.2,11,1,12,7,4,5,3,0,12.9,9.0,2.6,11.6,21,18,90,La_Liga,2023-2024
Willian José,br BRA,FW,Betis,31,1991,33,25,1971,21.9,10,5,15,10,0,0,0,1,5.7,5.7,2.5,8.2,8,32,90,La_Liga,2023-2024
Gerard Moreno,es ESP,FW,Villarreal,31,1992,30,28,2215,24.6,10,6,16,8,2,3,0,0,9.7,7.3,5.3,12.6,48,155,199,La_Liga,2023-2024
Joselu,es ESP,FW,Real Madrid,33,1990,34,15,1687,18.7,10,2,12,10,0,2,1,0,11.6,10.0,1.7,11.7,15,20,98,La_Liga,2023-2024
Rodrygo,br BRA,FW,Real Madrid,22,2001,34,28,2380,26.4,10,5,15,10,0,1,2,0,11.7,10.9,4.0,14.9,159,90,301,La_Liga,2023-2024
Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,34,22,2047,22.7,9,4,13,9,0,0,1,0,8.6,8.6,3.7,12.2,56,81,94,La_Liga,2023-2024
Cristhian Stuani,uy URU,FW,Girona,36,1986,31,5,804,8.9,9,3,12,9,0,0,6,0,9.6,9.6,1.9,11.5,3,5,24,La_Liga,2023-2024
Sávio,br BRA,"FW,MF",Girona,19,2004,37,35,2976,33.1,9,10,19,9,0,0,5,0,6.1,6.1,7.9,14.0,181,93,372,La_Liga,2023-2024
Ayoze Pérez,es ESP,FW,Betis,30,1993,31,29,2294,25.5,9,1,10,9,0,0,4,0,7.4,7.4,3.9,11.3,90,80,175,La_Liga,2023-2024
Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,26,1997,33,23,2156,24.0,9,3,12,7,2,2,3,0,9.1,7.5,1.7,9.2,27,39,126,La_Liga,2023-2024
Iago Aspas,es ESP,FW,Celta Vigo,35,1987,35,31,2707,30.1,9,10,19,6,3,5,6,1,11.5,7.5,10.1,17.6,84,161,202,La_Liga,2023-2024
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28,1995,32,14,1528,17.0,9,2,11,8,1,1,3,0,7.9,7.1,3.6,10.8,40,61,128,La_Liga,2023-2024
Mason Greenwood,eng ENG,"MF,FW",Getafe,21,2001,33,30,2662,29.6,8,6,14,6,2,3,6,1,8.8,6.4,4.6,11.0,127,89,239,La_Liga,2023-2024
Fermin López,es ESP,"MF,FW",Barcelona,20,2003,31,14,1446,16.1,8,0,8,8,0,0,2,0,7.5,7.5,1.1,8.6,42,76,93,La_Liga,2023-2024
Isco,es ESP,MF,Betis,31,1992,29,28,2326,25.8,8,5,13,6,2,2,10,0,8.3,6.7,6.4,13.1,100,216,145,La_Liga,2023-2024
Samu Omorodion,es ESP,FW,Alavés,19,2004,34,21,1918,21.3,8,1,9,8,0,0,6,0,10.8,10.8,1.3,12.0,30,18,100,La_Liga,2023-2024
Viktor Tsyhankov,ua UKR,"MF,FW",Girona,25,1997,30,26,2052,22.8,8,7,15,8,0,0,0,0,6.2,6.2,5.9,12.1,65,89,226,La_Liga,2023-2024
Brahim Díaz,ma MAR,"FW,MF",Real Madrid,23,1999,31,18,1545,17.2,8,6,14,8,0,0,0,0,5.7,5.7,4.4,10.1,76,75,166,La_Liga,2023-2024
Portu,es ESP,"MF,FW",Girona,31,1992,33,11,1188,13.2,7,5,12,7,0,0,3,0,3.4,3.4,3.5,6.8,32,32,96,La_Liga,2023-2024
José Luis García Vayá,es ESP,MF,Valencia,24,1998,37,37,3302,36.7,7,1,8,0,7,8,4,0,7.3,1.0,3.2,4.2,30,251,43,La_Liga,2023-2024
Álex Berenguer,es ESP,FW,Athletic Club,28,1995,35,15,1592,17.7,7,3,10,6,1,1,4,0,5.2,4.4,3.7,8.1,61,30,143,La_Liga,2023-2024
José Luis Morales,es ESP,"FW,MF",Villarreal,36,1987,29,8,1048,11.6,7,0,7,7,0,0,0,0,5.6,5.6,0.6,6.1,29,17,79,La_Liga,2023-2024
Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999,32,7,905,10.1,7,1,8,7,0,0,2,0,4.6,4.6,1.3,5.9,10,13,53,La_Liga,2023-2024
Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,22,2001,30,24,2150,23.9,7,4,11,7,0,0,1,0,3.5,3.5,6.4,9.9,136,89,231,La_Liga,2023-2024
João Félix,pt POR,FW,Barcelona,23,1999,30,18,1540,17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,La_Liga,2023-2024
Vedat Muriqi,xk KVX,FW,Mallorca,29,1994,29,25,2327,25.9,7,2,9,6,1,3,5,0,10.4,8.0,2.6,10.6,20,40,134,La_Liga,2023-2024
Ferrán Torres,es ESP,FW,Barcelona,23,2000,29,12,1211,13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30,44,113,La_Liga,2023-2024
Lucas Boyé,ar ARG,FW,Granada,27,1996,31,30,2541,28.2,6,3,9,6,0,0,8,1,6.2,6.2,2.8,8.9,36,65,131,La_Liga,2023-2024
Abdón Prats,es ESP,"FW,MF",Mallorca,30,1992,34,11,1270,14.1,6,1,7,6,0,0,4,0,3.2,3.2,2.4,5.6,9,26,49,La_Liga,2023-2024
Léo Baptistão,br BRA,FW,Almería,30,1992,32,22,1837,20.4,6,0,6,6,0,0,6,1,5.3,5.3,1.8,7.1,26,45,88,La_Liga,2023-2024
Bryan Zaragoza,es ESP,"MF,FW",Granada,22,2001,21,18,1638,18.2,6,2,8,5,1,1,5,0,3.8,3.0,3.3,6.3,100,36,127,La_Liga,2023-2024
