Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Karim Benzema,fr FRA,FW,Real Madrid,33,1987,32,31,2593,28.8,27,12,39,20,7,11,0,0,23.7,15.1,7.9,23.0,88,177,252,La_Liga,2021-2022
Iago Aspas,es ESP,FW,Celta Vigo,33,1987,37,36,3087,34.3,18,5,23,15,3,5,9,0,14.1,10.2,5.9,16.1,112,108,296,La_Liga,2021-2022
Vinicius Júnior,br BRA,FW,Real Madrid,21,2000,35,30,2690,29.9,17,10,27,17,0,0,6,0,12.3,12.3,8.0,20.3,225,123,485,La_Liga,2021-2022
Raúl de Tomás,es ESP,FW,Espanyol,26,1994,34,33,2914,32.4,17,3,20,12,5,5,7,2,15.1,11.2,1.6,12.8,44,86,191,La_Liga,2021-2022
Juanmi,es ESP,FW,Betis,28,1993,33,26,2131,23.7,16,4,20,16,0,0,5,0,11.1,11.1,2.9,14.0,26,38,107,La_Liga,2021-2022
Enes Ünal,tr TUR,FW,Getafe,24,1997,37,33,2798,31.1,16,1,17,14,2,4,8,0,10.4,7.3,1.5,8.8,24,44,127,La_Liga,2021-2022
Joselu,es ESP,FW,Alavés,31,1990,37,35,3122,34.7,14,4,18,8,6,7,0,0,12.9,7.4,4.5,11.9,27,108,137,La_Liga,2021-2022
José Luis Morales,es ESP,"FW,MF",Levante,34,1987,35,31,2719,30.2,13,7,20,10,3,5,7,0,14.3,10.4,5.2,15.6,100,97,241,La_Liga,2021-2022
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,26,1995,36,21,1856,20.6,12,5,17,12,0,0,3,1,7.3,7.3,3.7,11.0,38,65,149,La_Liga,2021-2022
Memphis,nl NED,FW,Barcelona,27,1994,28,20,1851,20.6,12,2,14,8,4,5,3,0,11.2,7.3,4.4,11.7,83,72,239,La_Liga,2021-2022
Luis Suárez,uy URU,FW,Atlético Madrid,34,1987,35,20,1835,20.4,11,2,13,9,2,3,7,0,10.0,7.7,1.3,8.9,16,40,105,La_Liga,2021-2022
Carlos Soler,es ESP,MF,Valencia,24,1997,32,28,2474,27.5,11,5,16,4,7,7,4,0,9.1,3.5,4.0,7.6,40,101,89,La_Liga,2021-2022
Gonçalo Guedes,pt POR,"FW,MF",Valencia,24,1996,36,30,2606,29.0,11,6,17,10,1,2,3,0,6.4,4.7,4.0,8.7,93,120,245,La_Liga,2021-2022
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,13,1082,12.0,11,1,12,11,0,0,0,0,7.8,7.8,1.1,8.9,16,16,79,La_Liga,2021-2022
Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,31,19,1731,19.2,10,0,10,10,0,0,2,0,7.5,7.5,2.4,9.9,56,80,143,La_Liga,2021-2022
Jorge Molina,es ESP,FW,Granada,39,1982,35,19,1966,21.8,10,5,15,10,0,1,2,0,6.4,5.6,3.4,9.0,11,51,105,La_Liga,2021-2022
Borja Iglesias,es ESP,FW,Betis,28,1993,33,18,1573,17.5,10,0,10,7,3,3,4,0,7.7,5.3,2.7,8.0,18,29,102,La_Liga,2021-2022
Arnaut Danjuma,nl NED,FW,Villarreal,24,1997,23,17,1472,16.4,10,3,13,7,3,3,1,0,11.9,9.5,2.2,11.7,71,27,172,La_Liga,2021-2022
Rafa Mir,es ESP,FW,Sevilla,24,1997,34,18,1808,20.1,10,0,10,10,0,0,6,0,7.5,7.5,0.3,7.8,18,16,76,La_Liga,2021-2022
Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,24,1997,22,19,1671,18.6,9,3,12,5,4,5,0,1,9.3,5.4,3.7,9.0,51,46,144,La_Liga,2021-2022
Gerard Moreno,es ESP,FW,Villarreal,29,1992,17,14,1191,13.2,9,3,12,8,1,2,2,0,7.4,5.8,4.9,10.7,29,67,95,La_Liga,2021-2022
Luis Javier Suárez,co COL,FW,Granada,23,1997,37,34,2844,31.6,8,4,12,8,0,1,6,0,9.8,9.1,3.1,12.2,62,63,196,La_Liga,2021-2022
Iñaki Williams,gh GHA,FW,Athletic Club,27,1994,38,32,2777,30.9,8,5,13,7,1,1,4,0,14.1,13.3,5.7,19.0,76,45,316,La_Liga,2021-2022
Willian José,br BRA,FW,Betis,29,1991,32,19,1604,17.8,8,4,12,5,3,3,2,0,6.1,3.7,3.0,6.7,18,38,100,La_Liga,2021-2022
Ante Budimir,hr CRO,FW,Osasuna,30,1991,28,20,1738,19.3,8,2,10,6,2,2,3,0,8.3,6.8,0.7,7.5,19,23,90,La_Liga,2021-2022
João Félix,pt POR,"FW,MF",Atlético Madrid,21,1999,24,13,1263,14.0,8,4,12,8,0,0,3,1,5.7,5.7,4.7,10.4,42,49,82,La_Liga,2021-2022
Pere Milla,es ESP,"MF,FW",Elche,28,1992,32,17,1644,18.3,8,3,11,8,0,0,4,0,4.9,4.9,1.7,6.6,17,39,75,La_Liga,2021-2022
Sergi Guardiola,es ESP,FW,Rayo Vallecano,30,1991,32,20,1710,19.0,8,2,10,7,1,1,3,0,7.1,6.3,2.0,8.3,23,32,114,La_Liga,2021-2022
Lucas Boyé,ar ARG,FW,Elche,25,1996,24,22,1713,19.0,7,3,10,7,0,0,3,0,4.6,4.6,2.0,6.5,37,37,89,La_Liga,2021-2022
