Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Lionel Messi,ar ARG,"FW,MF",Barcelona,33,1987,35,33,3023,33.6,30,9,39,27,3,5,4,0,22.1,17.8,9.5,27.2,215,335,263,La_Liga,2020-2021
Gerard Moreno,es ESP,FW,Villarreal,28,1992,33,30,2673,29.7,23,7,30,13,10,10,3,0,18.9,11.1,7.4,18.5,49,132,233,La_Liga,2020-2021
Karim Benzema,fr FRA,FW,Real Madrid,32,1987,34,33,2894,32.2,23,9,32,22,1,1,2,0,18.5,17.7,6.4,24.1,107,114,256,La_Liga,2020-2021
Luis Suárez,uy URU,FW,Atlético Madrid,33,1987,32,30,2508,27.9,21,3,24,18,3,3,6,0,16.2,13.9,3.0,16.8,30,46,171,La_Liga,2020-2021
Youssef En-Nesyri,ma MAR,FW,Sevilla,23,1997,38,23,2311,25.7,18,0,18,18,0,0,2,0,15.6,15.6,2.6,18.2,29,13,114,La_Liga,2020-2021
Alexander Isak,se SWE,FW,Real Sociedad,20,1999,34,30,2340,26.0,17,2,19,17,0,1,4,0,16.8,16.0,1.8,17.8,44,44,153,La_Liga,2020-2021
Iago Aspas,es ESP,FW,Celta Vigo,32,1987,33,33,2864,31.8,14,13,27,9,5,5,9,0,12.4,8.5,9.0,17.5,93,144,269,La_Liga,2020-2021
Antoine Griezmann,fr FRA,"FW,MF",Barcelona,29,1991,36,32,2604,28.9,13,7,20,12,1,2,4,0,12.1,10.5,5.6,16.1,41,104,224,La_Liga,2020-2021
Rafa Mir,es ESP,FW,Huesca,23,1997,38,32,2877,32.0,13,1,14,11,2,3,2,0,15.3,13.0,1.0,14.0,42,39,117,La_Liga,2020-2021
José Luis Morales,es ESP,"MF,FW",Levante,33,1987,38,30,2439,27.1,13,3,16,13,0,1,3,0,7.2,6.5,4.9,11.4,78,75,190,La_Liga,2020-2021
Santi Mina,es ESP,FW,Celta Vigo,24,1995,34,29,2412,26.8,12,3,15,11,1,1,4,0,9.2,8.4,1.9,10.3,17,40,135,La_Liga,2020-2021
Kiké,es ESP,FW,Eibar,30,1989,37,36,3087,34.3,12,2,14,12,0,0,4,1,10.8,10.8,2.1,12.9,36,53,247,La_Liga,2020-2021
Marcos Llorente,es ESP,"MF,FW",Atlético Madrid,25,1995,37,33,2956,32.8,12,11,23,12,0,0,6,0,3.4,3.4,5.6,9.0,90,140,215,La_Liga,2020-2021
Roger Martí,es ESP,FW,Levante,29,1991,33,26,2198,24.4,12,4,16,10,2,4,4,0,9.7,6.5,2.8,9.3,12,44,155,La_Liga,2020-2021
Carlos Soler,es ESP,MF,Valencia,23,1997,32,31,2735,30.4,11,8,19,4,7,9,7,0,9.5,2.4,4.7,7.1,46,153,30,La_Liga,2020-2021
Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,23,1997,33,30,2408,26.8,11,8,19,5,6,7,1,0,11.3,5.8,7.7,13.5,46,89,186,La_Liga,2020-2021
Ante Budimir,hr CRO,FW,Osasuna,29,1991,30,18,1625,18.1,11,0,11,11,0,0,3,0,9.2,9.2,0.8,10.0,14,29,103,La_Liga,2020-2021
Joselu,es ESP,FW,Alavés,30,1990,37,34,3026,33.6,11,3,14,9,2,4,1,0,12.8,9.6,3.8,13.4,25,99,137,La_Liga,2020-2021
Borja Iglesias,es ESP,FW,Betis,27,1993,28,15,1411,15.7,11,0,11,6,5,5,2,0,8.4,4.4,0.7,5.1,7,12,72,La_Liga,2020-2021
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25,1995,38,29,2393,26.6,9,8,17,9,0,0,3,0,7.8,7.7,5.7,13.4,64,84,186,La_Liga,2020-2021
Roberto Soldado,es ESP,FW,Granada,35,1985,29,16,1438,16.0,9,0,9,7,2,2,8,1,5.6,4.1,0.6,4.7,12,19,82,La_Liga,2020-2021
Brais Méndez,es ESP,"MF,FW",Celta Vigo,23,1997,34,30,2671,29.7,9,0,9,8,1,1,8,0,8.2,7.4,2.3,9.8,37,118,144,La_Liga,2020-2021
Sergio Canales,es ESP,"MF,FW",Betis,29,1991,31,28,2498,27.8,8,6,14,6,2,3,4,0,5.3,2.9,6.7,9.6,102,200,127,La_Liga,2020-2021
Álvaro Negredo,es ESP,FW,Cádiz,34,1985,35,29,2198,24.4,8,4,12,8,0,0,5,1,5.7,5.7,3.9,9.6,18,44,69,La_Liga,2020-2021
