Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Milan,38,26,8,4,69,31,38,86,Serie A,2021-2022
Inter,38,25,9,4,84,32,52,84,Serie A,2021-2022
Napoli,38,24,7,7,74,31,43,79,Serie A,2021-2022
Juventus,38,20,10,8,57,37,20,70,Serie A,2021-2022
Lazio,38,18,10,10,77,58,19,64,Serie A,2021-2022
Roma,38,18,9,11,59,43,16,63,Serie A,2021-2022
Fiorentina,38,19,5,14,59,51,8,62,Serie A,2021-2022
Atalanta,38,16,11,11,65,48,17,59,Serie A,2021-2022
Hellas Verona,38,14,11,13,65,59,6,53,Serie A,2021-2022
Torino,38,13,11,14,46,41,5,50,Serie A,2021-2022
Sassuolo,38,13,11,14,64,66,-2,50,Serie A,2021-2022
Udinese,38,11,14,13,61,58,3,47,Serie A,2021-2022
Bologna,38,12,10,16,44,55,-11,46,Serie A,2021-2022
Empoli,38,10,11,17,50,70,-20,41,Serie A,2021-2022
Sampdoria,38,10,6,22,46,63,-17,36,Serie A,2021-2022
Spezia,38,10,6,22,41,71,-30,36,Serie A,2021-2022
Salernitana,38,7,10,21,33,78,-45,31,Serie A,2021-2022
Cagliari,38,6,12,20,34,68,-34,30,Serie A,2021-2022
Genoa,38,4,16,18,27,60,-33,28,Serie A,2021-2022
Venezia,38,6,9,23,34,69,-35,27,Serie A,2021-2022
