Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Antonio Raimondo,it ITA,FW,Bologna,17,2004,1,1,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,Serie A,2021-2022
Boris Radunović,rs SRB,GK,Cagliari,25,1996,3,3,270,3.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Filip Benković,hr CRO,"DF,FW",Udinese,24,1997,2,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,Serie A,2021-2022
Samir Santos,br BRA,DF,Udinese,26,1994,17,17,1421,15.8,0,0,0,0,0,0,5,0,0.8,0.8,0.1,0.8,14,46,11,Serie A,2021-2022
Alex Sandro,br BRA,DF,Juventus,30,1991,28,17,1780,19.8,0,1,1,0,0,0,3,0,0.9,0.9,1.3,2.2,68,80,86,Serie A,2021-2022
Luigi Samele,it ITA,FW,Sassuolo,19,2002,2,0,5,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,1,Serie A,2021-2022
Eddie Salcedo,it ITA,"MF,FW",Spezia,19,2001,12,5,429,4.8,0,0,0,0,0,0,1,0,1.5,1.5,0.2,1.7,8,17,29,Serie A,2021-2022
Stefano Sabelli,it ITA,DF,Genoa,28,1993,7,5,348,3.9,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,11,14,21,Serie A,2021-2022
Alessandro Russo,it ITA,MF,Salernitana,17,2003,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,Serie A,2021-2022
Mário Rui,pt POR,DF,Napoli,30,1991,34,34,2992,33.2,0,5,5,0,0,0,7,0,1.6,1.6,3.3,4.9,67,150,155,Serie A,2021-2022
Matteo Ruggeri,it ITA,DF,Salernitana,19,2002,14,8,676,7.5,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,10,16,19,Serie A,2021-2022
Daniele Rugani,it ITA,DF,Juventus,27,1994,12,9,879,9.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,3,28,1,Serie A,2021-2022
Ruan,br BRA,DF,Sassuolo,22,1999,10,0,214,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,8,2,Serie A,2021-2022
Nicolò Rovella,it ITA,MF,Genoa,19,2001,21,16,1468,16.3,0,3,3,0,0,0,5,0,0.7,0.7,2.3,3.0,31,84,34,Serie A,2021-2022
Francesco Rossi,it ITA,GK,Atalanta,30,1991,1,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Cristiano Ronaldo,pt POR,FW,Juventus,36,1985,1,0,31,0.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,3,Serie A,2021-2022
Sergio Romero,ar ARG,GK,Venezia,34,1987,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,Serie A,2021-2022
Luka Romero,ar ARG,FW,Lazio,16,2004,8,0,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,6,0,9,Serie A,2021-2022
Koffi Djidji,ci CIV,DF,Torino,28,1992,25,21,1735,19.3,0,0,0,0,0,0,6,1,0.6,0.6,0.0,0.6,18,57,11,Serie A,2021-2022
Filippo Distefano,it ITA,FW,Fiorentina,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Adrian Šemper,hr CRO,GK,Genoa,23,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Demba Seck,sn SEN,"MF,FW",Torino,20,2001,6,1,146,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,6,3,8,Serie A,2021-2022
David Schnegg,at AUT,DF,Venezia,22,1998,4,2,142,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,5,Serie A,2021-2022
Martin Satriano,uy URU,"FW,MF",Inter,20,2001,4,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,Serie A,2021-2022
Giacomo Satalino,it ITA,GK,Sassuolo,22,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Serie A,2021-2022
Jeremie Boga,ci CIV,"FW,MF",Atalanta,24,1997,15,7,764,8.5,0,0,0,0,0,0,0,0,1.0,1.0,1.1,2.2,64,53,77,Serie A,2021-2022
Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,Serie A,2021-2022
Davide Biraschi,it ITA,DF,Genoa,27,1994,14,11,930,10.3,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.3,15,42,11,Serie A,2021-2022
