Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Cristiano Ronaldo,pt POR,FW,Juventus,35,1985,33,31,2802,31.1,29,2,31,23,6,8,3,0,27.7,21.4,3.8,25.2,154,117,277,Serie A,2020-2021
Romelu Lukaku,be BEL,FW,Inter,27,1993,36,32,2884,32.0,24,11,35,18,6,6,4,0,23.0,18.2,7.0,25.3,77,82,295,Serie A,2020-2021
Luis Muriel,co COL,FW,Atalanta,29,1991,36,16,1436,16.0,22,7,29,20,2,3,0,0,15.5,13.1,4.5,17.7,70,83,218,Serie A,2020-2021
Dušan Vlahović,rs SRB,FW,Fiorentina,20,2000,37,34,2923,32.5,21,3,24,15,6,6,1,0,18.5,13.8,2.2,16.0,36,31,213,Serie A,2020-2021
Simeon Nwankwo,ng NGA,FW,Crotone,28,1992,38,31,2943,32.7,20,2,22,12,8,8,1,0,19.1,12.8,1.1,14.0,22,50,175,Serie A,2020-2021
Ciro Immobile,it ITA,FW,Lazio,30,1990,35,34,2849,31.7,20,6,26,16,4,8,4,1,19.8,13.6,6.2,19.8,74,84,250,Serie A,2020-2021
Lorenzo Insigne,it ITA,FW,Napoli,29,1991,35,33,2865,31.8,19,8,27,12,7,8,2,1,15.6,9.3,8.5,17.7,138,192,270,Serie A,2020-2021
Lautaro Martínez,ar ARG,FW,Inter,22,1997,38,30,2561,28.5,17,6,23,15,2,2,5,0,15.2,13.6,5.7,19.3,48,61,187,Serie A,2020-2021
Domenico Berardi,it ITA,FW,Sassuolo,25,1994,30,28,2475,27.5,17,7,24,10,7,8,4,0,15.0,8.7,6.2,14.9,101,164,272,Serie A,2020-2021
João Pedro,it ITA,"FW,MF",Cagliari,28,1992,37,37,3253,36.1,16,3,19,12,4,5,4,0,12.5,8.7,5.5,14.2,45,94,193,Serie A,2020-2021
Duván Zapata,co COL,FW,Atalanta,29,1991,37,29,2379,26.4,15,9,24,14,1,1,0,0,15.2,14.4,5.4,19.7,88,48,329,Serie A,2020-2021
Zlatan Ibrahimović,se SWE,FW,Milan,38,1981,19,18,1493,16.6,15,2,17,12,3,6,2,1,16.2,11.9,1.8,13.7,31,61,116,Serie A,2020-2021
Henrikh Mkhitaryan,am ARM,"MF,FW",Roma,31,1989,34,30,2745,30.5,13,10,23,12,1,1,2,0,10.9,10.1,7.6,17.7,103,138,225,Serie A,2020-2021
Franck Kessié,ci CIV,MF,Milan,23,1996,37,36,3226,35.8,13,4,17,2,11,13,8,0,14.0,3.8,2.9,6.7,64,171,57,Serie A,2020-2021
Fabio Quagliarella,it ITA,FW,Sampdoria,37,1983,33,25,2204,24.5,13,1,14,11,2,3,1,0,11.8,9.4,1.4,10.9,20,46,157,Serie A,2020-2021
Andrea Belotti,it ITA,FW,Torino,26,1993,35,33,2888,32.1,13,6,19,9,4,5,4,0,13.7,9.8,7.0,16.8,81,64,214,Serie A,2020-2021
Hirving Lozano,mx MEX,FW,Napoli,25,1995,32,23,1965,21.8,11,3,14,11,0,0,6,0,9.3,9.3,4.8,14.1,112,44,256,Serie A,2020-2021
Francesco Caputo,it ITA,FW,Sassuolo,32,1987,25,19,1697,18.9,11,5,16,8,3,3,1,0,9.9,7.6,2.1,9.7,12,29,128,Serie A,2020-2021
Robin Gosens,de GER,DF,Atalanta,26,1994,32,30,2523,28.0,11,6,17,11,0,0,9,1,8.4,8.4,3.6,12.0,71,134,204,Serie A,2020-2021
Álvaro Morata,es ESP,FW,Juventus,27,1992,32,23,2014,22.4,11,9,20,10,1,1,3,1,10.7,9.9,5.1,15.0,55,56,159,Serie A,2020-2021
Mattia Destro,it ITA,FW,Genoa,29,1991,29,22,1606,17.8,11,1,12,11,0,0,5,0,6.2,6.2,0.5,6.7,22,13,76,Serie A,2020-2021
Ante Rebić,hr CRO,FW,Milan,26,1993,27,20,1776,19.7,11,4,15,11,0,0,4,1,5.9,5.6,5.4,11.0,43,52,146,Serie A,2020-2021
M'Bala Nzola,ao ANG,FW,Spezia,23,1996,25,21,1896,21.1,11,3,14,7,4,4,5,0,9.3,6.2,2.1,8.3,26,25,119,Serie A,2020-2021
Borja Mayoral,es ESP,FW,Roma,23,1997,31,18,1551,17.2,10,3,13,10,0,0,1,0,6.8,6.8,1.5,8.4,27,35,113,Serie A,2020-2021
Victor Osimhen,ng NGA,FW,Napoli,21,1998,24,16,1573,17.5,10,3,13,10,0,0,4,0,10.6,10.6,2.5,13.1,41,9,100,Serie A,2020-2021
Jordan Veretout,fr FRA,MF,Roma,27,1993,29,25,2053,22.8,10,2,12,5,5,5,4,0,8.1,4.1,2.6,6.7,45,144,56,Serie A,2020-2021
Dries Mertens,be BEL,"FW,MF",Napoli,33,1987,29,18,1459,16.2,9,8,17,9,0,0,2,0,5.0,5.0,4.2,9.2,28,67,93,Serie A,2020-2021
Junior Messias,br BRA,"MF,FW",Crotone,29,1991,36,36,3215,35.7,9,4,13,9,0,0,6,0,7.6,7.6,2.6,10.2,166,135,213,Serie A,2020-2021
Roberto Soriano,it ITA,MF,Bologna,29,1991,37,37,3250,36.1,9,6,15,9,0,0,5,0,6.9,6.9,7.8,14.7,80,199,157,Serie A,2020-2021
Luis Alberto,es ESP,MF,Lazio,27,1992,34,33,2618,29.1,9,2,11,9,0,0,5,0,5.1,5.0,7.9,12.9,143,301,132,Serie A,2020-2021
