Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Lautaro Martínez,ar ARG,FW,Inter,25,1997,33,31,2656,29.5,24,3,27,22,2,3,5,0,17.6,15.3,3.6,18.8,54,80,172,Serie A,2023-2024
Dušan Vlahović,rs SRB,FW,Juventus,23,2000,33,27,2307,25.6,16,4,20,14,2,4,8,1,16.6,13.3,2.3,15.6,36,46,174,Serie A,2023-2024
Victor Osimhen,ng NGA,FW,Napoli,24,1998,25,22,1982,22.0,15,3,18,12,3,5,6,1,15.4,11.4,3.1,14.6,34,23,142,Serie A,2023-2024
Olivier Giroud,fr FRA,FW,Milan,36,1986,35,28,2363,26.3,15,8,23,11,4,5,1,1,14.2,10.2,4.7,14.9,9,28,95,Serie A,2023-2024
Albert Guðmundsson,is ISL,"FW,MF",Genoa,26,1997,35,34,3016,33.5,14,4,18,10,4,5,4,0,9.9,5.8,5.2,11.0,82,120,168,Serie A,2023-2024
Romelu Lukaku,be BEL,FW,Roma,30,1993,32,30,2641,29.3,13,3,16,13,0,1,5,1,9.8,9.0,2.4,11.4,37,37,234,Serie A,2023-2024
Hakan Çalhanoğlu,tr TUR,MF,Inter,29,1994,32,32,2556,28.4,13,3,16,3,10,10,5,0,10.1,2.3,4.7,7.0,45,186,34,Serie A,2023-2024
Paulo Dybala,ar ARG,"FW,MF",Roma,29,1993,28,25,1959,21.8,13,9,22,6,7,7,3,0,10.6,5.1,4.3,9.4,79,122,167,Serie A,2023-2024
Marcus Thuram,fr FRA,FW,Inter,25,1997,35,34,2687,29.9,13,7,20,13,0,0,3,0,14.3,14.3,3.7,18.0,68,47,192,Serie A,2023-2024
Christian Pulisic,us USA,"FW,MF",Milan,24,1998,36,32,2602,28.9,12,8,20,12,0,0,2,0,8.0,8.0,4.8,12.8,131,87,293,Serie A,2023-2024
Gianluca Scamacca,it ITA,FW,Atalanta,24,1999,29,17,1453,16.1,12,6,18,12,0,0,1,0,6.5,6.5,3.9,10.5,22,41,167,Serie A,2023-2024
Teun Koopmeiners,nl NED,MF,Atalanta,25,1998,34,29,2627,29.2,12,5,17,10,2,2,5,0,6.5,5.0,5.9,10.9,79,169,190,Serie A,2023-2024
Nicolás González,ar ARG,FW,Fiorentina,25,1998,29,21,1913,21.3,12,2,14,11,1,3,1,0,10.4,8.0,1.6,9.6,53,100,190,Serie A,2023-2024
Duván Zapata,co COL,FW,Torino,32,1991,35,34,2880,32.0,12,4,16,12,0,0,2,0,10.9,10.9,3.0,13.9,74,52,242,Serie A,2023-2024
Matìas Soulé,ar ARG,"FW,MF",Frosinone,20,2003,36,36,3121,34.7,11,3,14,6,5,6,4,0,10.5,5.7,6.6,12.3,115,198,211,Serie A,2023-2024
Ademola Lookman,ng NGA,"FW,MF",Atalanta,25,1997,31,22,1894,21.0,11,7,18,11,0,0,4,0,9.1,9.1,5.2,14.3,72,97,222,Serie A,2023-2024
Joshua Zirkzee,nl NED,FW,Bologna,22,2001,34,32,2759,30.7,11,4,15,9,2,2,8,0,9.0,7.4,5.2,12.6,53,86,182,Serie A,2023-2024
Khvicha Kvaratskhelia,ge GEO,FW,Napoli,22,2001,34,32,2737,30.4,11,6,17,11,0,0,8,0,11.1,11.1,6.8,17.9,184,89,266,Serie A,2023-2024
Andrea Pinamonti,it ITA,FW,Sassuolo,24,1999,38,37,3076,34.2,11,1,12,9,2,3,4,0,8.9,6.6,1.9,8.4,17,45,165,Serie A,2023-2024
Riccardo Orsolini,it ITA,"FW,MF",Bologna,26,1997,33,19,1792,19.9,10,2,12,8,2,3,2,0,7.4,5.0,4.4,9.4,51,71,175,Serie A,2023-2024
Charles De Ketelaere,be BEL,"FW,MF",Atalanta,22,2001,35,25,2026,22.5,10,8,18,9,1,1,1,0,7.1,6.3,6.1,12.4,88,126,219,Serie A,2023-2024
Federico Chiesa,it ITA,FW,Juventus,25,1997,33,25,2197,24.4,9,2,11,8,1,1,1,0,6.4,5.6,6.2,11.9,111,70,216,Serie A,2023-2024
Rafael Leão,pt POR,FW,Milan,24,1999,34,29,2512,27.9,9,9,18,9,0,0,5,0,10.0,10.0,9.1,19.1,160,117,293,Serie A,2023-2024
Domenico Berardi,it ITA,FW,Sassuolo,28,1994,17,17,1431,15.9,9,3,12,4,5,5,6,0,6.5,2.6,3.0,5.6,38,83,123,Serie A,2023-2024
Matteo Politano,it ITA,FW,Napoli,29,1993,37,31,2360,26.2,8,7,15,6,2,3,2,1,7.1,4.8,6.6,11.4,113,164,216,Serie A,2023-2024
Giacomo Bonaventura,it ITA,MF,Fiorentina,33,1989,31,27,2277,25.3,8,3,11,8,0,1,6,0,5.7,4.4,3.6,8.0,60,140,107,Serie A,2023-2024
Lorenzo Pellegrini,it ITA,MF,Roma,27,1996,29,20,1859,20.7,8,3,11,7,1,1,7,0,4.8,4.0,2.4,6.4,43,94,97,Serie A,2023-2024
Lorenzo Lucca,it ITA,FW,Udinese,22,2000,37,30,2592,28.8,8,4,12,8,0,0,6,0,7.8,7.8,1.6,9.4,10,18,118,Serie A,2023-2024
Andrea Colpani,it ITA,"MF,FW",Monza,24,1999,38,36,2657,29.5,8,4,12,8,0,0,1,0,4.8,4.8,5.0,9.8,90,120,193,Serie A,2023-2024
Nikola Krstović,me MNE,FW,Lecce,23,2000,35,30,2373,26.4,7,1,8,6,1,3,4,1,11.6,9.2,3.0,12.3,32,52,126,Serie A,2023-2024
Mateo Retegui,it ITA,FW,Genoa,24,1999,29,26,2216,24.6,7,2,9,6,1,1,5,0,5.8,5.0,0.7,5.8,18,17,112,Serie A,2023-2024
Ciro Immobile,it ITA,FW,Lazio,33,1990,31,21,1652,18.4,7,1,8,3,4,4,8,0,9.7,6.6,2.1,8.6,19,39,123,Serie A,2023-2024
Walid Cheddira,ma MAR,FW,Frosinone,25,1998,36,24,2120,23.6,7,1,8,6,1,1,0,0,9.0,8.2,1.4,9.6,31,22,139,Serie A,2023-2024
Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,22,2001,32,21,1692,18.8,6,2,8,5,1,1,6,0,3.8,3.0,1.5,4.5,12,49,113,Serie A,2023-2024
Matteo Pessina,it ITA,MF,Monza,26,1997,37,37,3222,35.8,6,3,9,2,4,5,5,1,6.3,2.4,1.1,3.5,69,190,53,Serie A,2023-2024
Lewis Ferguson,sct SCO,MF,Bologna,23,1999,31,31,2712,30.1,6,3,9,6,0,0,8,0,5.4,5.4,2.3,7.7,57,142,138,Serie A,2023-2024
Antonio Candreva,it ITA,"MF,FW",Salernitana,36,1987,34,32,2750,30.6,6,6,12,5,1,1,5,0,4.9,4.1,5.0,9.1,67,149,182,Serie A,2023-2024
Éderson,br BRA,MF,Atalanta,24,1999,36,32,2869,31.9,6,1,7,6,0,0,8,0,3.5,3.5,1.4,4.9,32,214,50,Serie A,2023-2024
Davide Frattesi,it ITA,MF,Inter,23,1999,32,6,955,10.6,6,3,9,6,0,0,1,0,7.1,7.1,1.9,9.0,27,37,40,Serie A,2023-2024
Cyril Ngonge,be BEL,"FW,MF",Hellas Verona,23,2000,19,17,1431,15.9,6,2,8,6,0,0,4,0,4.2,3.4,1.7,5.1,53,44,117,Serie A,2023-2024
M'Baye Niang,sn SEN,FW,Empoli,28,1994,14,5,708,7.9,6,1,7,2,4,4,1,0,5.4,2.3,0.9,3.2,13,11,43,Serie A,2023-2024
Ruben Loftus-Cheek,eng ENG,MF,Milan,27,1996,29,26,2068,23.0,6,1,7,6,0,0,5,0,3.7,3.7,2.4,6.1,73,74,113,Serie A,2023-2024
Luka Jović,rs SRB,FW,Milan,25,1997,23,8,877,9.7,6,1,7,6,0,0,2,1,4.9,4.9,0.8,5.7,6,22,47,Serie A,2023-2024
Mattia Zaccagni,it ITA,"FW,MF",Lazio,28,1995,28,24,1956,21.7,6,1,7,6,0,0,8,0,4.7,4.7,2.9,7.6,88,55,209,Serie A,2023-2024
Kristian Thorstvedt,no NOR,MF,Sassuolo,24,1999,34,30,2397,26.6,6,1,7,6,0,0,7,0,4.4,4.4,1.6,5.9,30,130,94,Serie A,2023-2024
Matías Vecino,uy URU,MF,Lazio,31,1991,31,8,1153,12.8,6,1,7,6,0,0,8,0,3.7,3.7,0.4,4.1,16,74,43,Serie A,2023-2024
Lazar Samardzic,rs SRB,MF,Udinese,21,2002,34,28,2372,26.4,6,2,8,5,1,1,3,0,3.5,2.8,5.5,8.3,65,83,91,Serie A,2023-2024
Mario Pašalić,hr CRO,MF,Atalanta,28,1995,34,23,2051,22.8,6,6,12,4,2,2,3,0,7.1,5.5,4.1,9.6,48,129,74,Serie A,2023-2024
Noah Okafor,ch SUI,"FW,MF",Milan,23,2000,28,6,887,9.9,6,2,8,6,0,0,1,0,3.8,3.8,1.2,5.0,29,15,66,Serie A,2023-2024
