Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Victor Osimhen,ng NGA,FW,Napoli,23,1998,32,30,2566,28.5,26,4,30,24,2,3,4,0,21.3,18.9,2.8,21.8,43,28,196,Serie A,2022-2023
Lautaro Martínez,ar ARG,FW,Inter,24,1997,38,27,2576,28.6,21,6,27,20,1,2,3,0,18.1,16.5,5.4,21.9,49,83,172,Serie A,2022-2023
Boulaye Dia,sn SEN,"FW,MF",Salernitana,25,1996,33,27,2518,28.0,16,6,22,15,1,1,4,0,8.8,8.0,3.1,11.1,48,50,140,Serie A,2022-2023
Rafael Leão,pt POR,"FW,MF",Milan,23,1999,35,28,2421,26.9,15,8,23,15,0,0,7,1,10.8,10.8,7.0,17.9,136,122,235,Serie A,2022-2023
Ademola Lookman,ng NGA,"FW,MF",Atalanta,24,1997,31,20,1729,19.2,13,6,19,10,3,3,3,0,9.1,6.7,6.6,13.3,73,79,185,Serie A,2022-2023
Olivier Giroud,fr FRA,FW,Milan,35,1986,33,25,2139,23.8,13,5,18,10,3,3,8,1,12.7,10.4,4.0,14.4,12,36,152,Serie A,2022-2023
M'Bala Nzola,ao ANG,FW,Spezia,25,1996,31,29,2653,29.5,13,2,15,10,3,3,8,0,11.0,8.6,2.5,11.1,50,50,215,Serie A,2022-2023
Ciro Immobile,it ITA,FW,Lazio,32,1990,31,27,2219,24.7,12,5,17,8,4,5,3,0,14.2,10.3,1.9,12.2,40,43,174,Serie A,2022-2023
Khvicha Kvaratskhelia,ge GEO,FW,Napoli,21,2001,34,30,2518,28.0,12,10,22,10,2,2,1,0,8.2,6.6,7.7,14.2,139,91,291,Serie A,2022-2023
Paulo Dybala,ar ARG,"MF,FW",Roma,28,1993,25,21,1739,19.3,12,6,18,7,5,5,5,0,9.3,5.3,6.8,12.2,56,75,109,Serie A,2022-2023
Domenico Berardi,it ITA,FW,Sassuolo,27,1994,26,22,1866,20.7,12,7,19,5,7,8,7,0,11.4,5.1,6.6,11.7,57,114,213,Serie A,2022-2023
Antonio Sanabria,py PAR,FW,Torino,26,1996,33,28,2433,27.0,12,4,16,11,1,1,4,0,9.3,8.5,3.0,11.5,17,46,139,Serie A,2022-2023
Riccardo Orsolini,it ITA,FW,Bologna,25,1997,32,22,2124,23.6,11,4,15,8,3,3,8,2,10.5,8.1,3.1,11.2,53,62,212,Serie A,2022-2023
Mattia Zaccagni,it ITA,FW,Lazio,27,1995,35,33,2770,30.8,10,6,16,9,1,1,9,0,6.7,5.9,4.5,10.4,118,76,282,Serie A,2022-2023
Teun Koopmeiners,nl NED,MF,Atalanta,24,1998,33,32,2858,31.8,10,4,14,8,2,4,7,0,7.6,4.3,6.4,10.7,60,186,106,Serie A,2022-2023
Beto,gw GNB,FW,Udinese,24,1998,33,23,2129,23.7,10,1,11,9,1,1,2,0,10.9,10.1,2.6,12.6,25,13,121,Serie A,2022-2023
Dušan Vlahović,rs SRB,FW,Juventus,22,2000,27,22,1925,21.4,10,2,12,8,2,3,1,0,9.7,7.3,2.4,9.8,22,40,117,Serie A,2022-2023
Marko Arnautović,at AUT,FW,Bologna,33,1989,21,18,1530,17.0,10,0,10,7,3,3,5,0,7.2,4.8,1.9,6.7,13,36,116,Serie A,2022-2023
Romelu Lukaku,be BEL,FW,Inter,29,1993,25,19,1660,18.4,10,6,16,8,2,2,1,0,9.0,7.4,4.1,11.5,34,41,159,Serie A,2022-2023
Sergej Milinković-Savić,rs SRB,MF,Lazio,27,1995,36,34,3022,33.6,9,8,17,9,0,0,10,0,6.8,6.8,7.1,13.9,47,166,129,Serie A,2022-2023
Edin Džeko,ba BIH,FW,Inter,36,1986,33,18,1732,19.2,9,3,12,9,0,0,3,0,9.7,9.7,3.2,13.0,32,67,150,Serie A,2022-2023
Rasmus Højlund,dk DEN,FW,Atalanta,19,2003,32,20,1834,20.4,9,2,11,9,0,0,1,0,9.5,9.5,2.4,11.8,40,37,224,Serie A,2022-2023
