Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Fri,2021-08-13,21:00,Valencia,Getafe,1.5,1.4,1–0,2021-2022,0
1.0,Sat,2021-08-14,19:30,Cádiz,Levante,0.6,0.9,1–1,2021-2022,1
1.0,Sat,2021-08-14,19:30,Mallorca,Betis,0.5,0.6,1–1,2021-2022,2
1.0,Sat,2021-08-14,22:00,Alavés,Real Madrid,1.7,1.7,1–4,2021-2022,3
1.0,Sat,2021-08-14,22:00,Osasuna,Espanyol,0.9,0.5,0–0,2021-2022,4
1.0,Sun,2021-08-15,17:30,Celta Vigo,Atlético Madrid,2.3,1.5,1–2,2021-2022,5
1.0,Sun,2021-08-15,20:00,Barcelona,Real Sociedad,2.8,0.8,4–2,2021-2022,6
1.0,Sun,2021-08-15,22:15,Sevilla,Rayo Vallecano,3.7,0.4,3–0,2021-2022,7
1.0,Mon,2021-08-16,20:00,Villarreal,Granada,1.1,0.3,0–0,2021-2022,8
1.0,Mon,2021-08-16,22:00,Elche,Athletic Club,1.1,0.6,0–0,2021-2022,9
2.0,Fri,2021-08-20,21:00,Betis,Cádiz,1.1,1.6,1–1,2021-2022,11
2.0,Sat,2021-08-21,17:00,Alavés,Mallorca,0.5,0.7,0–1,2021-2022,12
2.0,Sat,2021-08-21,19:30,Espanyol,Villarreal,1.3,0.6,0–0,2021-2022,13
2.0,Sat,2021-08-21,19:30,Granada,Valencia,1.1,1.5,1–1,2021-2022,14
2.0,Sat,2021-08-21,22:00,Athletic Club,Barcelona,1.4,1.0,1–1,2021-2022,15
2.0,Sun,2021-08-22,17:00,Real Sociedad,Rayo Vallecano,1.9,0.5,1–0,2021-2022,16
2.0,Sun,2021-08-22,19:30,Atlético Madrid,Elche,1.2,0.2,1–0,2021-2022,17
2.0,Sun,2021-08-22,22:00,Levante,Real Madrid,1.9,1.6,3–3,2021-2022,18
2.0,Mon,2021-08-23,20:00,Getafe,Sevilla,0.5,1.2,0–1,2021-2022,19
2.0,Mon,2021-08-23,22:00,Osasuna,Celta Vigo,2.0,0.1,0–0,2021-2022,20
3.0,Fri,2021-08-27,20:00,Mallorca,Espanyol,1.0,0.4,1–0,2021-2022,22
3.0,Fri,2021-08-27,22:15,Valencia,Alavés,1.6,0.4,3–0,2021-2022,23
3.0,Sat,2021-08-28,17:00,Celta Vigo,Athletic Club,1.1,1.4,0–1,2021-2022,24
3.0,Sat,2021-08-28,19:30,Real Sociedad,Levante,1.0,0.4,1–0,2021-2022,25
3.0,Sat,2021-08-28,19:30,Elche,Sevilla,0.5,1.3,1–1,2021-2022,26
3.0,Sat,2021-08-28,22:00,Betis,Real Madrid,0.6,0.9,0–1,2021-2022,27
3.0,Sun,2021-08-29,17:00,Barcelona,Getafe,1.1,0.4,2–1,2021-2022,28
3.0,Sun,2021-08-29,19:30,Rayo Vallecano,Granada,2.2,0.5,4–0,2021-2022,29
3.0,Sun,2021-08-29,19:30,Cádiz,Osasuna,1.6,2.4,2–3,2021-2022,30
3.0,Sun,2021-08-29,22:00,Atlético Madrid,Villarreal,1.7,0.3,2–2,2021-2022,31
4.0,Sat,2021-09-11,18:30,Levante,Rayo Vallecano,1.0,2.2,1–1,2021-2022,33
4.0,Sat,2021-09-11,21:00,Athletic Club,Mallorca,1.4,0.2,2–0,2021-2022,34
4.0,Sun,2021-09-12,14:00,Espanyol,Atlético Madrid,0.4,0.8,1–2,2021-2022,35
4.0,Sun,2021-09-12,16:15,Osasuna,Valencia,0.6,0.9,1–4,2021-2022,36
4.0,Sun,2021-09-12,18:30,Cádiz,Real Sociedad,0.3,1.9,0–2,2021-2022,37
4.0,Sun,2021-09-12,21:00,Real Madrid,Celta Vigo,3.2,1.8,5–2,2021-2022,38
4.0,Mon,2021-09-13,20:00,Getafe,Elche,0.3,0.8,0–1,2021-2022,39
4.0,Mon,2021-09-13,22:00,Granada,Betis,0.6,2.3,1–2,2021-2022,40
5.0,Fri,2021-09-17,21:00,Celta Vigo,Cádiz,1.0,1.1,1–2,2021-2022,42
5.0,Sat,2021-09-18,14:00,Rayo Vallecano,Getafe,2.2,1.1,3–0,2021-2022,43
5.0,Sat,2021-09-18,16:15,Atlético Madrid,Athletic Club,0.9,1.0,0–0,2021-2022,44
5.0,Sat,2021-09-18,18:30,Elche,Levante,0.4,1.1,1–1,2021-2022,45
5.0,Sat,2021-09-18,21:00,Alavés,Osasuna,0.5,1.4,0–2,2021-2022,46
5.0,Sun,2021-09-19,14:00,Mallorca,Villarreal,0.5,1.4,0–0,2021-2022,47
5.0,Sun,2021-09-19,16:15,Real Sociedad,Sevilla,1.3,0.5,0–0,2021-2022,48
5.0,Sun,2021-09-19,18:30,Betis,Espanyol,1.9,1.1,2–2,2021-2022,49
5.0,Sun,2021-09-19,21:00,Valencia,Real Madrid,0.9,1.3,1–2,2021-2022,50
5.0,Mon,2021-09-20,21:00,Barcelona,Granada,1.8,0.8,1–1,2021-2022,51
6.0,Tue,2021-09-21,19:30,Getafe,Atlético Madrid,0.3,1.1,1–2,2021-2022,53
6.0,Tue,2021-09-21,22:00,Levante,Celta Vigo,1.7,0.7,0–2,2021-2022,54
6.0,Tue,2021-09-21,22:00,Athletic Club,Rayo Vallecano,0.9,1.0,1–2,2021-2022,55
6.0,Wed,2021-09-22,19:30,Sevilla,Valencia,1.0,0.4,3–1,2021-2022,56
6.0,Wed,2021-09-22,19:30,Espanyol,Alavés,1.7,0.5,1–0,2021-2022,57
6.0,Wed,2021-09-22,22:00,Villarreal,Elche,3.2,1.2,4–1,2021-2022,58
6.0,Wed,2021-09-22,22:00,Real Madrid,Mallorca,2.6,1.4,6–1,2021-2022,59
6.0,Thu,2021-09-23,19:30,Osasuna,Betis,1.0,2.4,1–3,2021-2022,60
6.0,Thu,2021-09-23,19:30,Granada,Real Sociedad,1.3,1.7,2–3,2021-2022,61
6.0,Thu,2021-09-23,22:00,Cádiz,Barcelona,1.3,0.4,0–0,2021-2022,62
7.0,Sat,2021-09-25,14:00,Alavés,Atlético Madrid,0.7,0.7,1–0,2021-2022,64
7.0,Sat,2021-09-25,16:15,Valencia,Athletic Club,0.9,0.8,1–1,2021-2022,65
7.0,Sat,2021-09-25,18:30,Sevilla,Espanyol,1.8,0.7,2–0,2021-2022,66
7.0,Sat,2021-09-25,21:00,Real Madrid,Villarreal,1.1,0.5,0–0,2021-2022,67
7.0,Sun,2021-09-26,14:00,Mallorca,Osasuna,2.6,0.9,2–3,2021-2022,68
7.0,Sun,2021-09-26,16:15,Barcelona,Levante,2.9,0.8,3–0,2021-2022,69
7.0,Sun,2021-09-26,18:30,Rayo Vallecano,Cádiz,1.3,1.0,3–1,2021-2022,70
7.0,Sun,2021-09-26,18:30,Real Sociedad,Elche,2.4,0.5,1–0,2021-2022,71
7.0,Sun,2021-09-26,21:00,Betis,Getafe,1.9,0.6,2–0,2021-2022,72
7.0,Mon,2021-09-27,21:00,Celta Vigo,Granada,1.3,0.8,1–0,2021-2022,73
8.0,Fri,2021-10-01,21:00,Athletic Club,Alavés,2.0,0.9,1–0,2021-2022,75
8.0,Sat,2021-10-02,14:00,Osasuna,Rayo Vallecano,0.5,0.2,1–0,2021-2022,76
8.0,Sat,2021-10-02,16:15,Mallorca,Levante,0.6,1.2,1–0,2021-2022,77
8.0,Sat,2021-10-02,18:30,Cádiz,Valencia,0.2,1.1,0–0,2021-2022,78
8.0,Sat,2021-10-02,21:00,Atlético Madrid,Barcelona,1.2,0.7,2–0,2021-2022,79
8.0,Sun,2021-10-03,14:00,Elche,Celta Vigo,1.3,0.5,1–0,2021-2022,80
8.0,Sun,2021-10-03,16:15,Espanyol,Real Madrid,1.2,1.6,2–1,2021-2022,81
8.0,Sun,2021-10-03,18:30,Villarreal,Betis,2.6,0.5,2–0,2021-2022,82
8.0,Sun,2021-10-03,18:30,Getafe,Real Sociedad,0.7,0.7,1–1,2021-2022,83
8.0,Sun,2021-10-03,21:00,Granada,Sevilla,0.1,1.3,1–0,2021-2022,84
9.0,Sat,2021-10-16,18:30,Levante,Getafe,0.9,0.6,0–0,2021-2022,86
9.0,Sat,2021-10-16,21:00,Real Sociedad,Mallorca,0.4,0.2,1–0,2021-2022,87
9.0,Sun,2021-10-17,14:00,Rayo Vallecano,Elche,1.2,0.4,2–1,2021-2022,88
9.0,Sun,2021-10-17,16:15,Celta Vigo,Sevilla,1.2,1.0,0–1,2021-2022,89
9.0,Sun,2021-10-17,18:30,Villarreal,Osasuna,0.5,0.6,1–2,2021-2022,90
9.0,Sun,2021-10-17,21:00,Barcelona,Valencia,1.9,0.4,3–1,2021-2022,91
9.0,Mon,2021-10-18,19:00,Alavés,Betis,0.9,1.4,0–1,2021-2022,92
9.0,Mon,2021-10-18,21:00,Espanyol,Cádiz,1.3,0.4,2–0,2021-2022,93
10.0,Fri,2021-10-22,21:00,Osasuna,Granada,1.0,0.5,1–1,2021-2022,95
10.0,Sat,2021-10-23,14:00,Valencia,Mallorca,1.8,0.6,2–2,2021-2022,96
10.0,Sat,2021-10-23,16:15,Cádiz,Alavés,1.5,1.3,0–2,2021-2022,97
10.0,Sat,2021-10-23,18:30,Elche,Espanyol,0.9,0.8,2–2,2021-2022,98
10.0,Sat,2021-10-23,21:00,Athletic Club,Villarreal,2.8,0.5,2–1,2021-2022,99
