Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Erling Haaland,no NOR,FW,Manchester City,23,2000,31,29,2552,28.4,27,5,32,20,7,8,1,0,29.2,22.9,4.3,27.2,35,26,126,Premier League,2023-2024
Cole Palmer,eng ENG,"FW,MF",Chelsea,21,2002,33,29,2607,29.0,22,11,33,13,9,9,7,0,18.2,11.1,11.1,22.2,117,197,195,Premier League,2023-2024
Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,30,27,2255,25.1,21,2,23,16,5,6,1,0,20.3,15.6,3.7,19.3,68,71,129,Premier League,2023-2024
Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,35,33,2857,31.7,19,8,27,19,0,0,2,0,10.3,10.3,8.4,18.7,93,168,269,Premier League,2023-2024
Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,37,37,3217,35.7,19,13,32,19,0,0,4,0,16.8,16.8,7.3,24.2,62,55,214,Premier League,2023-2024
Dominic Solanke,eng ENG,FW,Bournemouth,25,1997,38,37,3325,36.9,19,3,22,17,2,3,3,0,19.6,17.2,3.0,20.3,52,60,184,Premier League,2023-2024
Mohamed Salah,eg EGY,FW,Liverpool,31,1992,32,28,2534,28.2,18,10,28,13,5,7,2,0,21.2,15.5,11.8,27.3,98,147,341,Premier League,2023-2024
Son Heung-min,kr KOR,FW,Tottenham,31,1992,35,34,2934,32.6,17,10,27,15,2,2,1,0,12.0,10.4,11.8,22.2,119,139,325,Premier League,2023-2024
Jarrod Bowen,eng ENG,FW,West Ham,26,1996,34,34,3019,33.5,16,6,22,16,0,0,2,0,11.6,11.6,5.5,17.2,90,52,186,Premier League,2023-2024
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,26,1997,35,25,2282,25.4,16,5,21,14,2,2,3,0,10.9,9.4,3.1,12.5,29,25,135,Premier League,2023-2024
Bukayo Saka,eng ENG,FW,Arsenal,21,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,Premier League,2023-2024
Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,35,31,2799,31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70,67,200,Premier League,2023-2024
Chris Wood,nz NZL,FW,Nott'ham Forest,31,1991,31,20,1812,20.1,14,1,15,14,0,0,0,0,11.9,11.9,2.1,14.0,16,30,76,Premier League,2023-2024
Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,37,30,2634,29.3,13,7,20,12,1,1,11,0,12.3,11.6,4.4,15.9,55,99,191,Premier League,2023-2024
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,29,25,2119,23.5,12,3,15,11,1,1,6,0,7.7,6.9,3.0,9.9,37,37,120,Premier League,2023-2024
Yoane Wissa,cd COD,FW,Brentford,26,1996,34,29,2493,27.7,12,3,15,12,0,0,7,0,10.6,10.6,3.9,14.5,45,48,150,Premier League,2023-2024
Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,32,29,2440,27.1,12,7,19,11,1,1,9,0,9.5,8.7,3.2,11.9,107,87,139,Premier League,2023-2024
Leandro Trossard,be BEL,"FW,MF",Arsenal,28,1994,34,18,1649,18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,66,76,155,Premier League,2023-2024
