Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Harry Kane,eng ENG,FW,Tottenham,27,1993,35,35,3082,34.2,23,14,37,19,4,4,1,0,20.1,16.9,7.1,24.0,75,132,185,Premier League,2020-2021
Mohamed Salah,eg EGY,FW,Liverpool,28,1992,37,34,3078,34.2,22,5,27,16,6,6,0,0,19.3,14.6,6.2,20.8,111,136,396,Premier League,2020-2021
Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,37,35,3099,34.4,18,12,30,9,9,10,6,0,16.1,8.2,11.4,19.6,80,285,263,Premier League,2020-2021
Patrick Bamford,eng ENG,FW,Leeds United,26,1993,38,37,3050,33.9,17,7,24,15,2,2,3,0,18.2,16.6,3.5,20.2,32,31,167,Premier League,2020-2021
Son Heung-min,kr KOR,FW,Tottenham,28,1992,37,36,3114,34.6,17,10,27,16,1,1,0,0,9.7,8.9,8.4,17.4,88,87,266,Premier League,2020-2021
Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,33,32,2871,31.9,16,0,16,16,0,0,3,0,16.3,16.3,2.0,18.3,36,46,160,Premier League,2020-2021
Jamie Vardy,eng ENG,FW,Leicester City,33,1987,34,31,2840,31.6,15,9,24,7,8,9,1,0,19.9,12.8,4.7,17.5,57,31,202,Premier League,2020-2021
Ollie Watkins,eng ENG,FW,Aston Villa,24,1995,37,37,3328,37.0,14,5,19,13,1,2,4,1,14.5,13.0,5.3,18.3,84,55,290,Premier League,2020-2021
İlkay Gündoğan,de GER,MF,Manchester City,29,1990,28,23,2029,22.5,13,2,15,12,1,2,1,0,9.0,7.4,3.5,10.9,69,167,92,Premier League,2020-2021
Alexandre Lacazette,fr FRA,FW,Arsenal,29,1991,31,22,1923,21.4,13,2,15,10,3,3,3,0,11.7,9.3,2.2,11.5,15,55,112,Premier League,2020-2021
Callum Wilson,eng ENG,FW,Newcastle Utd,28,1992,26,23,2084,23.2,12,5,17,8,4,4,2,0,12.4,9.3,2.8,12.1,42,32,116,Premier League,2020-2021
Kelechi Iheanacho,ng NGA,FW,Leicester City,23,1996,25,16,1459,16.2,12,2,14,12,0,1,1,0,8.2,7.4,3.7,11.1,31,41,124,Premier League,2020-2021
Danny Ings,eng ENG,FW,Southampton,28,1992,29,26,2173,24.1,12,4,16,10,2,2,1,0,8.5,6.9,2.1,9.1,37,52,134,Premier League,2020-2021
Chris Wood,nz NZL,FW,Burnley,28,1991,33,32,2741,30.5,12,3,15,10,2,2,0,0,13.0,11.4,1.9,13.4,17,20,217,Premier League,2020-2021
Gareth Bale,wls WAL,FW,Tottenham,31,1989,20,10,920,10.2,11,2,13,11,0,0,1,0,5.8,5.8,1.8,7.6,31,43,85,Premier League,2020-2021
Sadio Mané,sn SEN,FW,Liverpool,28,1992,35,31,2810,31.2,11,7,18,11,0,0,3,0,14.1,14.1,7.0,21.0,142,112,366,Premier League,2020-2021
Wilfried Zaha,ci CIV,FW,Crystal Palace,27,1992,30,29,2612,29.0,11,2,13,9,2,2,6,0,8.1,6.5,3.1,9.6,103,72,259,Premier League,2020-2021
