Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Mohamed Salah,eg EGY,FW,Liverpool,29,1992,35,30,2762,30.7,23,13,36,18,5,6,1,0,22.7,17.8,10.0,27.8,125,122,451,Premier League,2021-2022
Son Heung-min,kr KOR,"MF,FW",Tottenham,29,1992,35,35,3006,33.4,23,7,30,23,0,0,2,0,15.9,15.9,7.5,23.4,116,90,242,Premier League,2021-2022
Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,30,27,2456,27.3,18,3,21,15,3,3,8,0,17.7,15.4,2.9,18.2,67,64,192,Premier League,2021-2022
Harry Kane,eng ENG,FW,Tottenham,28,1993,37,36,3232,35.9,17,9,26,13,4,4,5,0,18.6,15.4,9.1,24.5,87,143,212,Premier League,2021-2022
Sadio Mané,sn SEN,FW,Liverpool,29,1992,34,32,2819,31.3,16,2,18,16,0,0,5,0,17.2,17.2,5.2,22.5,105,130,305,Premier League,2021-2022
Diogo Jota,pt POR,FW,Liverpool,24,1996,35,27,2364,26.3,15,4,19,15,0,0,3,0,16.3,16.3,5.8,22.0,74,87,191,Premier League,2021-2022
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,30,25,2201,24.5,15,8,23,15,0,0,2,0,5.7,5.7,10.4,16.1,84,204,175,Premier League,2021-2022
Jamie Vardy,eng ENG,FW,Leicester City,34,1987,25,20,1806,20.1,15,2,17,15,0,0,2,0,10.8,10.8,1.4,12.2,37,28,112,Premier League,2021-2022
Wilfried Zaha,ci CIV,FW,Crystal Palace,28,1992,33,31,2760,30.7,14,1,15,9,5,7,6,1,9.5,3.9,5.1,9.0,113,121,265,Premier League,2021-2022
Raheem Sterling,eng ENG,FW,Manchester City,26,1994,30,23,2128,23.6,13,5,18,11,2,3,1,0,14.0,11.5,5.5,17.0,108,65,317,Premier League,2021-2022
Ivan Toney,eng ENG,FW,Brentford,25,1996,33,32,2909,32.3,12,5,17,7,5,5,8,0,11.4,7.4,5.8,13.3,28,83,168,Premier League,2021-2022
James Maddison,eng ENG,"MF,FW",Leicester City,24,1996,35,28,2459,27.3,12,8,20,12,0,0,3,0,7.5,7.5,5.1,12.7,53,136,141,Premier League,2021-2022
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,36,34,2983,33.1,12,10,22,12,0,0,6,0,11.9,11.9,6.1,18.0,74,66,204,Premier League,2021-2022
Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,28,15,1498,16.6,11,5,16,7,4,5,0,0,10.1,6.2,4.2,10.4,74,70,234,Premier League,2021-2022
Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,35,33,2952,32.8,11,2,13,10,1,1,7,0,11.6,11.0,3.4,14.4,74,60,226,Premier League,2021-2022
Bukayo Saka,eng ENG,"FW,MF",Arsenal,19,2001,38,36,2978,33.1,11,7,18,9,2,2,6,0,10.3,8.7,7.5,16.3,140,101,388,Premier League,2021-2022
Mason Mount,eng ENG,MF,Chelsea,22,1999,32,27,2363,26.3,11,10,21,10,1,1,4,0,8.0,7.2,6.7,14.0,92,164,276,Premier League,2021-2022
Raphinha,br BRA,"FW,MF",Leeds United,24,1996,35,34,2915,32.4,11,3,14,7,4,4,7,0,10.2,7.0,7.5,14.5,89,134,286,Premier League,2021-2022
Teemu Pukki,fi FIN,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,14,8,3,3,4,0,11.4,9.1,3.8,12.9,62,34,186,Premier League,2021-2022
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,36,35,3111,34.6,10,6,16,10,0,2,10,0,9.7,8.1,9.0,17.1,78,237,190,Premier League,2021-2022
James Ward-Prowse,eng ENG,MF,Southampton,26,1994,36,36,3215,35.7,10,5,15,6,4,4,3,1,5.4,2.2,6.5,8.7,21,189,42,Premier League,2021-2022
Michail Antonio,jm JAM,FW,West Ham,31,1990,36,34,2971,33.0,10,8,18,10,0,1,8,1,10.8,10.2,6.0,16.2,77,46,246,Premier League,2021-2022
Emmanuel Dennis,ng NGA,"FW,MF",Watford,23,1997,33,30,2581,28.7,10,6,16,10,0,0,9,1,7.3,7.3,4.1,11.3,90,61,172,Premier League,2021-2022
Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,21,2000,33,21,1921,21.3,10,2,12,10,0,0,1,0,6.0,6.0,2.0,8.0,65,85,139,Premier League,2021-2022
Richarlison,br BRA,FW,Everton,24,1997,30,28,2523,28.0,10,5,15,7,3,3,9,0,9.2,6.8,3.6,10.4,44,42,146,Premier League,2021-2022
Maxwel Cornet,ci CIV,"FW,MF",Burnley,24,1996,26,21,1766,19.6,9,1,10,9,0,1,2,0,6.7,5.9,1.7,7.7,28,30,125,Premier League,2021-2022
Phil Foden,eng ENG,FW,Manchester City,21,2000,28,24,2128,23.6,9,5,14,9,0,0,1,0,9.4,9.4,6.3,15.7,71,98,248,Premier League,2021-2022
Leandro Trossard,be BEL,"FW,MF",Brighton,26,1994,34,32,2805,31.2,8,3,11,7,1,1,2,0,6.7,5.9,4.8,10.7,97,154,222,Premier League,2021-2022
Bernardo Silva,pt POR,"MF,FW",Manchester City,26,1994,35,33,2857,31.7,8,4,12,8,0,0,6,0,6.7,6.7,6.5,13.2,146,170,277,Premier League,2021-2022
Neal Maupay,fr FRA,FW,Brighton,24,1996,32,25,2276,25.3,8,2,10,7,1,2,7,0,8.7,7.1,2.4,9.5,21,48,164,Premier League,2021-2022
Kai Havertz,de GER,"FW,MF",Chelsea,22,1999,29,22,1809,20.1,8,3,11,8,0,0,3,0,8.7,8.7,2.2,10.9,64,62,203,Premier League,2021-2022
İlkay Gündoğan,de GER,MF,Manchester City,30,1990,27,20,1857,20.6,8,4,12,8,0,0,1,0,9.0,9.0,4.9,13.9,60,126,107,Premier League,2021-2022
Romelu Lukaku,be BEL,FW,Chelsea,28,1993,26,16,1589,17.7,8,0,8,7,1,1,1,0,6.6,5.8,3.0,8.8,29,19,125,Premier League,2021-2022
Gabriel Jesus,br BRA,FW,Manchester City,24,1997,28,21,1877,20.9,8,8,16,7,1,1,1,0,9.8,9.0,5.7,14.7,51,55,220,Premier League,2021-2022
Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,34,33,2845,31.6,8,3,11,8,0,0,10,0,6.3,6.3,3.1,9.4,42,94,118,Premier League,2021-2022
Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,18,16,1386,15.4,8,0,8,6,2,2,4,0,6.2,4.6,0.5,5.1,14,9,52,Premier League,2021-2022
Jack Harrison,eng ENG,"FW,MF",Leeds United,24,1996,35,32,2639,29.3,8,1,9,8,0,0,3,0,4.4,4.4,3.2,7.6,120,89,234,Premier League,2021-2022
Saïd Benrahma,dz ALG,"FW,MF",West Ham,25,1995,32,26,2168,24.1,8,6,14,8,0,0,0,0,4.8,4.8,3.7,8.5,73,73,222,Premier League,2021-2022
Danny Ings,eng ENG,FW,Aston Villa,29,1992,30,22,1898,21.1,7,6,13,6,1,1,4,0,7.1,6.3,1.6,8.0,24,39,117,Premier League,2021-2022
Rodri,es ESP,MF,Manchester City,25,1996,33,33,2884,32.0,7,2,9,7,0,0,5,0,2.3,2.3,1.4,3.7,43,285,47,Premier League,2021-2022
Martin Ødegaard,no NOR,"MF,FW",Arsenal,22,1998,36,32,2785,30.9,7,4,11,7,0,0,4,0,4.8,4.8,6.3,11.1,57,224,146,Premier League,2021-2022
Yoane Wissa,cd COD,FW,Brentford,24,1996,30,12,1284,14.3,7,1,8,7,0,0,0,0,3.1,3.1,0.9,4.0,19,29,84,Premier League,2021-2022
Che Adams,sct SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,7.1,3.0,10.1,19,33,153,Premier League,2021-2022
Danny Welbeck,eng ENG,"FW,MF",Brighton,30,1990,25,15,1478,16.4,6,2,8,6,0,0,0,0,6.6,6.6,1.2,7.8,22,23,105,Premier League,2021-2022
Youri Tielemans,be BEL,MF,Leicester City,24,1997,32,29,2631,29.2,6,4,10,4,2,2,3,0,4.4,2.8,4.2,7.0,31,202,69,Premier League,2021-2022
Christian Pulisic,us USA,"MF,FW",Chelsea,22,1998,22,13,1290,14.3,6,2,8,6,0,0,2,0,4.9,4.9,1.3,6.2,44,38,108,Premier League,2021-2022
Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,34,29,2467,27.4,6,1,7,6,0,0,6,0,4.0,4.0,1.9,5.9,91,132,92,Premier League,2021-2022
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,28,18,1564,17.4,6,3,9,5,1,1,4,0,6.4,5.6,1.9,7.5,42,42,109,Premier League,2021-2022
Pablo Fornals,es ESP,"FW,MF",West Ham,25,1996,36,32,2795,31.1,6,3,9,6,0,0,4,0,4.6,4.6,6.3,10.9,49,191,200,Premier League,2021-2022
Jorginho,it ITA,MF,Chelsea,29,1991,29,26,2273,25.3,6,2,8,0,6,7,5,0,5.8,0.3,2.7,3.0,18,178,19,Premier League,2021-2022
Raúl Jiménez,mx MEX,FW,Wolves,30,1991,34,30,2631,29.2,6,4,10,5,1,1,9,2,6.1,5.4,3.1,8.5,40,65,163,Premier League,2021-2022
Rodrigo,es ESP,"MF,FW",Leeds United,30,1991,31,27,2265,25.2,6,1,7,5,1,1,9,0,4.2,3.5,3.1,6.6,47,105,164,Premier League,2021-2022
Ademola Lookman,ng NGA,"FW,MF",Leicester City,23,1997,26,16,1453,16.1,6,0,6,6,0,0,2,0,4.5,4.5,1.9,6.4,43,54,139,Premier League,2021-2022
Armando Broja,al ALB,FW,Southampton,19,2001,32,21,1975,21.9,6,0,6,6,0,0,2,0,5.9,5.9,1.0,6.9,56,29,114,Premier League,2021-2022
Gabriel Martinelli,br BRA,"FW,MF",Arsenal,20,2001,29,21,1860,20.7,6,6,12,5,1,1,3,1,7.3,6.6,4.3,11.0,79,37,207,Premier League,2021-2022
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23,1997,32,24,2101,23.3,6,10,16,6,0,0,2,0,5.6,5.6,4.6,10.2,107,59,237,Premier League,2021-2022
Tomáš Souček,cz CZE,MF,West Ham,26,1995,35,34,3062,34.0,5,1,6,5,0,0,3,0,5.5,4.8,2.2,7.0,36,141,54,Premier League,2021-2022
Ismaila Sarr,sn SEN,"FW,MF",Watford,23,1998,22,21,1861,20.7,5,2,7,5,0,1,2,0,4.8,4.0,2.9,6.9,79,52,158,Premier League,2021-2022
Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,24,1997,35,31,2804,31.2,5,5,10,5,0,0,6,0,5.2,5.2,4.3,9.5,180,87,167,Premier League,2021-2022
Alexis Mac Allister,ar ARG,"MF,FW",Brighton,22,1998,33,22,2123,23.6,5,2,7,3,2,3,4,0,6.3,4.0,1.9,5.9,30,137,66,Premier League,2021-2022
Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,6,5,0,0,3,0,4.4,4.4,2.0,6.4,27,21,66,Premier League,2021-2022
Joshua King,no NOR,FW,Watford,29,1992,32,27,2248,25.0,5,3,8,4,1,1,5,0,8.9,8.1,3.8,11.9,41,39,157,Premier League,2021-2022
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,21,2000,18,14,1261,14.0,5,8,13,5,0,0,3,0,2.7,2.7,3.4,6.2,51,35,100,Premier League,2021-2022
Manuel Lanzini,ar ARG,"MF,FW",West Ham,28,1993,30,19,1786,19.8,5,3,8,2,3,3,2,0,3.7,1.3,2.4,3.7,29,119,57,Premier League,2021-2022
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,17,15,1283,14.3,5,2,7,3,2,3,2,0,6.5,4.2,1.6,5.7,9,17,50,Premier League,2021-2022
Gabriel Magalhães,br BRA,DF,Arsenal,23,1997,35,35,3063,34.0,5,0,5,5,0,0,8,1,3.2,3.2,0.7,3.9,12,110,9,Premier League,2021-2022
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,22,13,1145,12.7,5,1,6,5,0,0,2,0,5.8,5.8,1.3,7.1,16,6,46,Premier League,2021-2022
Reece James,eng ENG,DF,Chelsea,21,1999,26,22,1864,20.7,5,9,14,5,0,0,4,1,3.1,3.1,5.9,9.1,52,149,203,Premier League,2021-2022
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,25,1996,30,20,1816,20.2,5,1,6,5,0,0,2,0,4.4,4.4,1.3,5.8,66,57,114,Premier League,2021-2022
Demarai Gray,jm JAM,"MF,FW",Everton,25,1996,34,28,2338,26.0,5,4,9,5,0,0,3,0,4.0,4.0,3.6,7.6,93,59,169,Premier League,2021-2022
Mason Greenwood,eng ENG,"FW,MF",Manchester Utd,19,2001,18,16,1271,14.1,5,1,6,5,0,0,1,0,4.3,4.3,1.8,6.1,48,39,109,Premier League,2021-2022
Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,17,11,1034,11.5,5,1,6,5,0,0,4,0,3.1,3.1,1.1,4.2,18,54,15,Premier League,2021-2022
Roberto Firmino,br BRA,FW,Liverpool,29,1991,20,10,990,11.0,5,4,9,5,0,0,3,0,4.7,4.7,1.7,6.4,27,40,100,Premier League,2021-2022
Fabinho,br BRA,MF,Liverpool,27,1993,29,26,2314,25.7,5,1,6,3,2,2,7,0,3.9,2.4,1.3,3.7,18,134,37,Premier League,2021-2022
Philippe Coutinho,br BRA,"MF,FW",Aston Villa,29,1992,19,16,1329,14.8,5,3,8,5,0,0,0,0,3.8,3.8,2.9,6.7,48,94,62,Premier League,2021-2022
Cucho,co COL,"FW,MF",Watford,22,1999,25,11,1147,12.7,5,2,7,5,0,0,3,0,2.5,2.5,1.9,4.3,22,39,85,Premier League,2021-2022
Patson Daka,zm ZAM,FW,Leicester City,22,1998,23,13,1159,12.9,5,3,8,5,0,0,2,0,4.2,4.2,2.0,6.1,10,17,66,Premier League,2021-2022
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,14,12,1037,11.5,4,1,5,4,0,2,3,0,5.9,4.2,1.0,5.2,21,26,47,Premier League,2021-2022
Hakim Ziyech,ma MAR,"MF,FW",Chelsea,28,1993,23,14,1319,14.7,4,3,7,4,0,0,3,0,3.4,3.4,2.9,6.3,50,88,142,Premier League,2021-2022
Jan Bednarek,pl POL,DF,Southampton,25,1996,31,30,2629,29.2,4,0,4,4,0,0,10,0,2.2,2.2,0.4,2.6,0,61,5,Premier League,2021-2022
Conor Coady,eng ENG,DF,Wolves,28,1993,38,38,3361,37.3,4,0,4,4,0,0,4,0,2.8,2.8,0.1,2.8,6,35,3,Premier League,2021-2022
Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,26,1994,30,23,2042,22.7,4,2,6,4,0,0,4,0,5.5,5.5,2.3,7.8,59,81,124,Premier League,2021-2022
Luis Díaz,co COL,FW,Liverpool,24,1997,13,11,958,10.6,4,3,7,4,0,0,0,0,3.6,3.6,2.6,6.2,53,38,127,Premier League,2021-2022
Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,28,1992,32,20,1851,20.6,4,1,5,4,0,0,1,0,3.4,3.4,1.6,4.9,31,70,60,Premier League,2021-2022
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,25,11,1145,12.7,4,1,5,4,0,0,3,0,4.9,4.9,1.3,6.2,15,24,79,Premier League,2021-2022
Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,26,13,1264,14.0,4,5,9,4,0,0,1,0,3.6,3.6,2.5,6.1,28,37,85,Premier League,2021-2022
Matty Cash,pl POL,DF,Aston Villa,23,1997,38,38,3377,37.5,4,3,7,4,0,0,8,0,2.7,2.7,2.8,5.4,89,96,174,Premier League,2021-2022
Anthony Gordon,eng ENG,"MF,FW",Everton,20,2001,35,25,2285,25.4,4,2,6,4,0,0,4,0,3.5,3.5,3.8,7.3,74,51,137,Premier League,2021-2022
Rúben Neves,pt POR,MF,Wolves,24,1997,33,31,2661,29.6,4,2,6,4,0,0,9,0,1.1,1.1,3.1,4.3,34,202,19,Premier League,2021-2022
Fred,br BRA,MF,Manchester Utd,28,1993,28,24,2028,22.5,4,4,8,4,0,0,5,0,1.3,1.3,2.2,3.5,17,138,41,Premier League,2021-2022
