Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Manchester City,38,27,5,6,83,32,51,86,Premier League,2020-2021
Manchester Utd,38,21,11,6,73,44,29,74,Premier League,2020-2021
Liverpool,38,20,9,9,68,42,26,69,Premier League,2020-2021
Chelsea,38,19,10,9,58,36,22,67,Premier League,2020-2021
Leicester City,38,20,6,12,68,50,18,66,Premier League,2020-2021
West Ham,38,19,8,11,62,47,15,65,Premier League,2020-2021
Tottenham,38,18,8,12,68,45,23,62,Premier League,2020-2021
Arsenal,38,18,7,13,55,39,16,61,Premier League,2020-2021
Leeds United,38,18,5,15,62,54,8,59,Premier League,2020-2021
Everton,38,17,8,13,47,48,-1,59,Premier League,2020-2021
Aston Villa,38,16,7,15,55,46,9,55,Premier League,2020-2021
Newcastle Utd,38,12,9,17,46,62,-16,45,Premier League,2020-2021
Wolves,38,12,9,17,36,52,-16,45,Premier League,2020-2021
Crystal Palace,38,12,8,18,41,66,-25,44,Premier League,2020-2021
Southampton,38,12,7,19,47,68,-21,43,Premier League,2020-2021
Brighton,38,9,14,15,40,46,-6,41,Premier League,2020-2021
Burnley,38,10,9,19,33,55,-22,39,Premier League,2020-2021
Fulham,38,5,13,20,27,53,-26,28,Premier League,2020-2021
West Brom,38,5,11,22,35,76,-41,26,Premier League,2020-2021
Sheffield Utd,38,7,2,29,20,63,-43,23,Premier League,2020-2021
