Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Fri,2023-08-18,20:30,Werder Bremen,Bayern Munich,0.6,2.8,0–4,2023-2024,0
1.0,Sat,2023-08-19,15:30,Wolfsburg,Heidenheim,2.2,1.2,2–0,2023-2024,1
1.0,Sat,2023-08-19,15:30,Stuttgart,Bochum,3.0,0.8,5–0,2023-2024,2
1.0,Sat,2023-08-19,15:30,Augsburg,Gladbach,2.3,1.7,4–4,2023-2024,3
1.0,Sat,2023-08-19,15:30,Hoffenheim,Freiburg,1.4,2.6,1–2,2023-2024,4
1.0,Sat,2023-08-19,15:30,Leverkusen,RB Leipzig,1.4,1.6,3–2,2023-2024,5
1.0,Sat,2023-08-19,18:30,Dortmund,Köln,1.8,1.2,1–0,2023-2024,6
1.0,Sun,2023-08-20,15:30,Union Berlin,Mainz 05,1.9,2.3,4–1,2023-2024,7
1.0,Sun,2023-08-20,17:30,Eint Frankfurt,Darmstadt 98,1.5,0.5,1–0,2023-2024,8
2.0,Fri,2023-08-25,20:30,RB Leipzig,Stuttgart,1.8,1.1,5–1,2023-2024,10
2.0,Sat,2023-08-26,15:30,Freiburg,Werder Bremen,2.4,1.0,1–0,2023-2024,11
2.0,Sat,2023-08-26,15:30,Bochum,Dortmund,1.0,1.3,1–1,2023-2024,12
2.0,Sat,2023-08-26,15:30,Heidenheim,Hoffenheim,2.4,3.0,2–3,2023-2024,13
2.0,Sat,2023-08-26,15:30,Köln,Wolfsburg,0.9,1.7,1–2,2023-2024,14
2.0,Sat,2023-08-26,15:30,Darmstadt 98,Union Berlin,2.3,1.7,1–4,2023-2024,15
2.0,Sat,2023-08-26,18:30,Gladbach,Leverkusen,0.9,2.7,0–3,2023-2024,16
2.0,Sun,2023-08-27,15:30,Mainz 05,Eint Frankfurt,1.2,1.1,1–1,2023-2024,17
2.0,Sun,2023-08-27,17:30,Bayern Munich,Augsburg,2.8,0.7,3–1,2023-2024,18
3.0,Fri,2023-09-01,20:30,Dortmund,Heidenheim,3.4,2.1,2–2,2023-2024,20
3.0,Sat,2023-09-02,15:30,Augsburg,Bochum,1.9,1.6,2–2,2023-2024,21
3.0,Sat,2023-09-02,15:30,Stuttgart,Freiburg,1.7,1.0,5–0,2023-2024,22
